recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
006ab765f,23,1,39.9615,7235.16,46.0452,11283.4,tp,23,6,15,3,11,10,5,7,22,9,17,14,20,19,18,12,4,13,2,1,0,16,21,8,0,20
0201197ec,10,1,43.3575,947.461,45.8014,10852.7,tp,10,3,20,23,5,22,7,11,17,9,6,19,16,12,14,2,4,1,15,18,0,13,21,8,0,20
0268057eb,0,1,25.4987,5906.25,26.2933,8250.0,tp,0,1,3,18,12,2,8,9,21,14,23,15,4,22,13,7,5,16,11,17,10,6,20,19,0,0
0297d886e,13,1,57.808,93.75,58.431999999999995,843.75,tp,13,1,21,3,4,16,8,19,18,9,12,20,15,22,17,7,11,14,6,10,23,5,2,0,0,23
03b96f209,16,4,30.9333,3093.75,32.768,4593.75,tp,16,19,23,7,3,1,11,17,20,15,12,13,9,22,8,5,0,4,10,6,14,2,21,18,0,16
03d77fede,0,1,44.4107,5906.25,45.2053,8250.0,tp,18,0,3,12,21,4,2,14,8,1,5,9,10,23,16,6,7,15,17,22,19,11,20,13,1,1
043356ff8,18,1,0.1227,3187.5,0.816,5062.5,tp,18,0,12,13,4,3,1,2,23,14,21,9,19,6,15,10,5,11,22,17,8,7,16,20,0,1
04d6b1fc1,17,4,4.7307,1406.25,7.3387,3937.5,tp,17,9,3,11,6,10,20,7,23,22,14,15,5,12,19,16,0,2,1,18,4,13,8,21,0,16
05f8c0f2f,4,1,26.5867,2343.75,28.4427,4218.75,tp,18,4,3,12,21,1,0,14,2,8,9,13,19,16,23,17,6,20,22,15,5,10,11,7,1,6
06c44d203,3,1,1.28,1031.25,2.0213,2812.5,tp,7,22,20,17,23,3,11,6,5,9,10,16,15,19,1,2,14,4,13,12,0,18,8,21,5,20
078788674,15,1,41.36,93.75,44.70399999999999,1125.0,tp,3,15,7,23,9,12,1,14,13,17,5,16,21,22,20,10,18,2,11,6,19,0,8,4,1,21
07d1687e0,8,1,0.064,3750.0,4.1867,5531.25,tp,0,8,18,21,1,12,2,4,16,9,20,15,13,10,6,14,7,5,11,3,17,22,23,19,1,0
07dcf40f7,10,1,27.237,947.461,29.6809,10852.7,tp,10,23,7,3,17,11,20,6,9,5,22,19,14,1,15,0,4,12,2,13,16,18,21,8,0,15
08db743d0,16,4,38.3787,3093.75,40.2133,4593.75,tp,1,16,3,7,13,17,20,9,19,12,11,15,22,23,14,6,5,21,8,10,4,0,18,2,1,21
090ae427d,7,1,26.1387,4687.5,29.28,11437.5,tp,3,18,5,7,0,10,20,2,17,22,14,12,15,23,6,11,9,8,19,4,13,16,21,1,3,4
09315d9bf,22,1,49.696000000000005,10687.5,51.3013,13687.5,tp,22,23,10,20,3,17,7,9,11,5,6,19,15,14,1,12,2,4,0,18,13,16,21,8,0,18
0b3ef9c4e,6,1,44.3733,562.5,46.5173,4406.25,tp,11,7,6,20,17,23,22,5,10,9,3,2,19,12,0,14,4,13,15,1,16,18,8,21,2,14
0c2124550,21,1,18.2293,3281.25,19.3227,4125.0,tp,8,21,4,12,1,3,18,13,0,14,9,22,5,2,16,6,11,23,15,20,10,19,17,7,1,8
0c48ed342,17,1,50.032,1312.5,56.4853,3937.5,tp,7,11,17,20,23,3,9,5,22,16,19,10,12,6,15,13,0,14,1,4,2,18,8,21,2,16
0c936a1d4,17,4,48.2453,1406.25,50.8533,3937.5,tp,17,15,11,7,3,6,20,23,9,10,5,22,14,19,12,0,13,2,16,1,18,4,8,21,0,15
0cb4632d6,13,1,47.1467,93.75,47.7707,843.75,tp,18,13,4,12,21,3,1,0,14,2,15,19,8,9,6,11,23,22,16,10,20,17,5,7,1,7
0e799da44,18,1,24.6027,3187.5,25.296,5062.5,tp,18,3,4,21,12,14,1,0,5,15,23,9,8,10,13,2,22,6,17,16,19,20,7,11,0,7
103db6411,20,1,22.3573,1312.5,27.7387,6093.75,tp,20,11,17,3,10,22,5,23,7,6,9,14,12,2,19,15,13,0,16,18,1,4,8,21,0,17
11bafff5d,23,1,22.6278,7235.16,28.7115,11283.4,tp,10,23,7,3,20,17,5,22,11,9,0,6,18,19,12,15,14,16,1,4,13,2,8,21,1,10
11c2c02e5,15,1,17.6587,93.75,21.0027,1125.0,tp,7,15,3,20,11,17,16,10,5,23,6,13,9,22,19,1,14,2,0,4,8,12,18,21,1,18
11c2c02e5,15,1,14.8427,93.75,18.1867,1125.0,tp,7,15,3,20,11,17,16,10,5,23,6,13,9,22,19,1,14,2,0,4,8,12,18,21,1,18
1263c23c8,17,1,38.9013,1312.5,45.3547,3937.5,tp,17,3,15,9,7,19,23,20,12,5,16,14,6,11,22,10,13,1,0,2,4,18,21,8,0,18
13511f7bd,1,1,8.256,3843.75,9.152000000000001,5625.0,tp,15,1,3,0,23,9,12,2,7,13,18,6,14,22,17,10,5,11,19,20,16,8,21,4,1,3
13f64f898,1,1,35.4613,3843.75,36.3573,5625.0,tp,1,3,21,4,14,13,12,23,18,7,22,15,8,9,11,16,5,0,20,2,10,17,6,19,0,17
14dc5a39e,13,1,50.5067,93.75,51.1307,843.75,tp,1,13,21,4,3,8,14,22,18,12,0,16,15,20,9,11,17,2,23,6,7,19,5,10,1,10
