data_type,f_max,f_min,recording_id,songtype_id,species_id,t_max,t_min,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
tp,3281.25,562.5,007f87ba2,1.0,12,42.272,39.135999999999996,3,12,0,4,18,1,2,21,8,22,9,13,6,7,23,15,10,5,11,19,14,16,20,17,1,2
tp,5062.5,3187.5,011f25080,1.0,18,6.3787,5.6853,4,18,21,3,12,1,0,8,14,13,10,6,11,19,15,23,7,22,9,5,16,17,20,2,1,6
tp,1125.0,93.75,015113cad,1.0,15,53.3973,50.0533,0,3,15,16,6,5,17,7,23,9,10,19,1,20,11,14,22,2,12,18,13,4,21,8,2,0
tp,4406.25,562.5,01b41f92b,1.0,6,46.38399999999999,44.24,6,0,3,9,17,15,1,10,22,23,19,11,5,7,16,2,14,20,13,18,12,4,21,8,0,1
tp,10852.7,947.461,0201197ec,1.0,10,45.8014,43.3575,10,0,3,5,7,23,16,20,11,22,6,1,19,17,12,15,9,18,2,14,13,4,21,8,0,1
tp,4593.75,3093.75,03b96f209,4.0,16,32.768,30.9333,16,3,0,1,7,19,23,17,15,11,12,10,20,6,22,5,9,13,14,2,4,21,18,8,0,2
tp,3937.5,1406.25,04d6b1fc1,4.0,17,7.3387,4.7307,17,0,9,3,6,14,11,15,1,7,5,23,10,19,20,22,2,16,18,12,21,13,4,8,0,1
tp,4406.25,562.5,0509303a5,1.0,6,25.8453,23.7013,6,11,2,10,9,3,22,17,5,0,7,19,15,23,1,20,14,18,4,16,12,21,13,8,0,9
tp,10852.7,947.461,055d22517,1.0,10,50.0274,47.5835,0,3,5,23,14,10,1,7,6,19,11,17,9,20,18,12,15,22,2,16,21,4,13,8,5,0
tp,3000.0,468.75,05b9c974c,1.0,2,33.76,31.984,0,2,9,3,6,15,1,7,22,23,5,17,10,11,19,18,14,12,20,16,4,13,21,8,1,0
tp,8250.0,5906.25,067f49f8b,1.0,0,54.0907,53.29600000000001,1,4,0,21,8,18,3,12,14,13,9,22,7,16,23,15,20,11,19,10,6,17,2,5,2,2
tp,3281.25,562.5,068f1b8e2,1.0,12,26.0,22.864,12,0,3,18,23,4,5,8,22,1,10,11,16,19,7,17,13,6,15,20,2,14,9,21,0,1
tp,11283.4,7235.16,09a946316,1.0,23,56.558,50.4744,5,0,23,7,10,3,15,22,1,17,11,9,20,6,12,19,16,14,18,4,13,21,2,8,2,1
tp,3281.25,562.5,0b2fa3f80,1.0,12,6.1493,3.0133,8,0,3,12,15,5,18,22,21,7,1,19,4,23,17,14,13,2,10,20,11,6,16,9,3,1
tp,4125.0,3281.25,0c2124550,1.0,21,19.3227,18.2293,8,21,4,3,1,18,14,12,0,13,11,6,10,9,7,22,19,17,15,16,20,23,5,2,1,8
tp,5625.0,3843.75,0d25045a9,1.0,1,48.1653,47.2693,1,0,14,3,21,8,12,4,15,22,23,18,16,9,13,5,6,2,10,7,17,20,11,19,0,1
tp,1125.0,93.75,0e29d05ed,1.0,15,35.28,31.936,7,15,3,16,0,17,11,20,23,19,6,9,5,10,12,1,22,2,13,14,18,4,21,8,1,4
tp,5062.5,3187.5,0e799da44,1.0,18,25.296,24.6027,18,4,21,3,1,14,12,0,8,13,9,10,15,6,23,11,7,19,5,22,17,20,16,2,0,7
tp,8250.0,5906.25,0ea8ea68a,1.0,0,4.5973,3.8027,0,3,12,18,1,8,5,10,7,19,14,23,22,17,9,2,16,15,11,4,6,21,20,13,0,0
tp,5684.77,1808.79,0f99800b7,1.0,11,28.5547,27.416999999999998,0,3,7,11,15,23,12,10,17,14,6,13,5,16,18,22,20,19,1,9,4,21,2,8,3,0
tp,3000.0,468.75,100e4ddc9,1.0,2,3.0613,1.2853,0,2,3,1,15,7,6,5,9,22,23,11,10,18,14,17,19,12,20,4,8,21,16,13,1,0
tp,5250.0,1125.0,12ec1d4cb,1.0,9,26.9173,24.112,9,17,0,6,3,2,1,23,15,19,10,14,22,5,18,11,7,16,20,12,21,4,13,8,0,2
tp,6468.75,3750.0,1414bbe17,1.0,14,14.9173,14.6453,14,21,1,0,3,4,18,16,8,23,9,15,7,13,22,12,5,11,10,6,17,19,20,2,0,3
tp,843.75,93.75,14dc5a39e,1.0,13,51.1307,50.5067,1,21,13,3,4,0,14,18,16,8,12,9,23,15,10,7,22,11,6,17,5,20,19,2,2,5
tp,5625.0,3843.75,156b77dfe,1.0,1,38.256,37.36,1,0,3,12,18,15,9,2,23,14,21,13,22,8,4,7,10,5,6,17,19,16,20,11,0,1
tp,11627.9,6459.96,16553d5cd,4.0,23,36.6643,28.7405,3,12,0,23,18,5,10,22,19,1,7,9,16,15,17,20,11,6,14,4,2,13,21,8,3,2
tp,5718.75,2343.75,178b835e3,1.0,20,40.0853,36.6453,16,7,20,3,0,15,17,11,19,10,23,1,5,12,6,22,13,2,18,9,4,21,14,8,2,4
tp,4593.75,3093.75,178b835e3,4.0,16,6.0907,4.256,16,7,20,3,0,15,17,11,19,10,23,1,5,12,6,22,13,2,18,9,4,21,14,8,0,4
tp,4406.25,562.5,180ba3012,1.0,6,50.496,48.352,11,0,6,7,3,17,5,9,10,15,23,2,22,20,1,14,19,16,18,21,4,12,13,8,2,1
tp,11437.5,4687.5,18e249f36,1.0,7,32.016,28.8747,0,7,3,23,20,15,11,17,5,12,10,22,16,19,6,14,1,18,13,4,9,21,2,8,1,0
tp,3281.25,562.5,1aa00dc63,1.0,12,22.9227,19.7867,0,23,3,12,7,18,5,1,16,15,4,11,17,22,14,10,13,9,20,6,19,21,2,8,3,0
tp,10852.7,947.461,1bd29a4bb,1.0,10,45.2325,42.7886,11,10,3,0,5,6,17,9,7,20,23,19,14,15,1,22,18,2,12,16,21,4,13,8,1,3
tp,3281.25,562.5,1ca8c8af6,1.0,12,3.8187,0.6827,0,12,1,18,3,8,4,9,23,22,10,16,19,13,17,15,14,2,21,5,20,7,6,11,1,0
