recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
007f87ba2,12,1,39.135999999999996,562.5,42.272,3281.25,tp,18,4,12,21,0,3,13,8,1,22,5,9,14,23,2,15,6,16,10,17,20,19,7,11,2,4
0151b7d20,1,1,46.032,3843.75,46.928000000000004,5625.0,tp,1,13,16,19,5,3,21,10,14,4,7,23,22,6,17,11,18,2,8,20,15,9,0,12,0,22
02b9a8ab9,12,1,33.9093,562.5,37.0453,3281.25,tp,12,18,3,8,0,22,1,5,23,9,13,15,4,2,6,16,20,17,21,14,19,10,11,7,0,4
04975ecd8,19,1,54.38399999999999,281.25,55.93600000000001,2812.5,tp,19,16,7,17,3,11,10,15,23,14,1,5,20,13,0,6,8,21,22,18,4,2,9,12,0,14
053aeb7bd,23,4,0.9520000000000001,6459.96,8.8758,11627.9,tp,23,12,5,3,18,8,22,1,4,0,21,15,9,10,13,7,14,16,19,17,20,6,2,11,0,9
055088446,14,1,58.992,3750.0,59.263999999999996,6468.75,tp,21,14,1,8,4,7,20,13,10,19,22,6,16,3,5,15,2,11,18,17,23,0,12,9,1,21
055d22517,10,1,47.5835,947.461,50.0274,10852.7,tp,5,6,10,3,23,19,22,7,20,1,17,16,11,14,15,2,9,4,13,12,0,8,18,21,2,20
09a946316,23,1,50.4744,7235.16,56.558,11283.4,tp,23,5,10,4,22,7,6,21,19,3,1,15,16,20,11,14,17,13,9,8,2,12,18,0,0,23
0a9cdd8a5,7,1,22.2827,4687.5,25.424,11437.5,tp,7,15,17,23,11,10,3,5,20,19,6,16,14,22,1,9,12,2,13,4,8,0,18,21,0,21
0b2fa3f80,12,1,3.0133,562.5,6.1493,3281.25,tp,12,8,15,3,22,18,5,23,1,13,0,7,16,2,14,9,17,6,20,4,21,10,19,11,0,10
0d25045a9,1,1,47.2693,3843.75,48.1653,5625.0,tp,1,13,16,19,5,6,22,10,3,23,2,17,14,11,21,7,20,0,8,4,15,12,9,18,0,17
0fc62dd3c,18,1,9.6427,3187.5,10.335999999999999,5062.5,tp,12,0,18,4,8,21,1,3,22,13,14,5,2,9,23,15,6,19,10,16,17,7,20,11,2,1
100e4ddc9,2,1,1.2853,468.75,3.0613,3000.0,tp,2,3,6,22,5,20,10,14,15,19,1,17,23,4,11,21,16,12,9,13,0,8,7,18,0,20
119b154cc,15,1,3.7813,93.75,7.1253,1125.0,tp,15,7,19,17,11,6,20,3,14,16,10,22,5,23,1,9,13,12,2,8,4,0,18,21,0,21
147b41b13,7,1,35.4133,4687.5,38.5547,11437.5,tp,16,7,3,15,14,17,19,11,10,1,20,23,5,6,22,2,12,13,9,4,8,0,18,21,1,21
14f6cbe5c,3,1,53.6,1031.25,54.3413,2812.5,tp,15,19,7,17,3,10,16,20,11,14,23,5,6,1,22,9,13,12,8,2,4,0,21,18,4,21
1535d0c9b,9,1,4.6507,843.75,8.2133,5718.75,tp,9,17,20,6,3,15,7,5,19,23,22,10,16,11,14,1,2,0,12,18,13,4,8,21,0,17
16553d5cd,23,4,28.7405,6459.96,36.6643,11627.9,tp,23,12,3,8,22,18,5,4,1,0,21,7,9,15,14,16,13,10,19,20,17,6,2,11,0,9
178b835e3,16,4,21.2267,3093.75,23.0613,4593.75,tp,20,17,7,6,11,15,19,3,9,14,16,10,5,22,23,1,2,12,13,18,0,4,8,21,10,20
178b835e3,16,4,4.256,3093.75,6.0907,4593.75,tp,20,17,7,6,11,15,19,3,9,14,16,10,5,22,23,1,2,12,13,18,0,4,8,21,10,20
1aa00dc63,12,1,19.7867,562.5,22.9227,3281.25,tp,23,12,3,8,22,5,15,18,1,4,7,9,21,16,13,14,10,19,17,0,2,20,6,11,1,19
1aef4f8ff,14,1,47.152,2531.25,47.7387,5531.25,tp,14,21,1,4,8,13,7,3,18,10,15,0,5,16,9,19,22,2,6,23,12,17,20,11,0,11
1bd29a4bb,10,1,42.7886,947.461,45.2325,10852.7,tp,10,6,11,20,17,7,5,19,22,3,23,15,16,14,9,1,4,2,12,13,0,18,8,21,0,20
1e469c124,15,1,28.1493,93.75,31.4933,1125.0,tp,2,15,3,6,19,5,7,22,17,20,14,16,1,10,11,23,12,0,9,13,8,4,18,21,1,17
1f2260885,11,1,7.0531,1808.79,8.1908,5684.77,tp,11,6,20,7,17,10,19,3,5,15,14,23,9,22,16,1,2,12,4,18,13,8,0,21,0,22
2026bced7,12,1,49.8987,562.5,53.0347,3281.25,tp,18,12,0,8,4,3,1,21,22,13,5,9,23,14,2,15,10,6,16,17,19,20,7,11,1,2
20be88a43,6,1,12.9653,562.5,14.9867,3187.5,tp,6,11,10,20,19,5,17,23,7,22,3,9,1,14,16,15,12,2,4,0,18,13,8,21,0,19
22da462f9,1,1,8.816,3843.75,9.712,5625.0,tp,4,21,13,1,18,14,3,8,16,7,9,0,15,23,5,17,22,10,12,19,2,11,6,20,3,11
2393b59e0,23,1,31.4688,7235.16,37.5525,11283.4,tp,10,23,6,15,11,7,3,5,17,19,22,1,20,14,16,13,9,4,2,12,8,21,0,18,1,22
247aeccaf,9,1,19.7227,843.75,23.2853,5718.75,tp,10,9,20,17,6,5,11,7,23,22,19,3,16,15,2,0,14,4,1,18,12,13,8,21,1,15
25218b040,8,1,6.2827,3750.0,10.4053,5531.25,tp,21,8,4,1,13,14,18,0,22,10,20,5,7,16,6,15,9,19,11,23,17,3,12,2,1,7
25c229018,6,1,6.5013,562.5,8.6453,4406.25,tp,6,20,5,17,9,3,19,23,11,22,10,16,7,1,14,15,2,12,0,13,18,4,8,21,0,18
266e8b635,6,1,42.8427,562.5,44.9867,4406.25,tp,6,11,20,17,19,7,10,3,15,14,9,5,22,1,23,16,2,12,18,4,0,13,8,21,0,20
275a0fc0c,15,1,35.4667,93.75,38.8107,1125.0,tp,15,7,3,16,14,19,17,5,22,6,23,11,1,10,13,20,12,8,2,9,4,0,21,18,0,21
27c146a88,17,4,26.7733,1312.5,29.3067,7406.25,tp,7,16,15,17,3,19,14,10,11,20,6,5,23,1,22,9,13,2,12,4,8,0,18,21,3,21
27c78408d,19,1,14.128,281.25,15.68,2812.5,tp,19,5,6,23,17,3,22,13,1,16,10,7,8,0,15,12,2,14,20,11,9,21,4,18,0,13
28d37d1de,22,1,35.8347,10687.5,37.44,13687.5,tp,22,6,3,20,5,17,23,11,19,10,7,15,16,14,2,1,21,9,4,13,8,12,18,0,0,23
295f49a04,10,1,38.0401,947.461,40.484,10852.7,tp,10,19,11,5,6,22,23,1,7,3,20,16,17,2,4,15,0,14,12,13,18,21,9,8,0,16
2a1bb0557,14,1,3.696,3750.0,3.968,6468.75,tp,14,21,1,8,4,7,10,3,13,19,15,20,6,22,16,5,11,23,2,17,18,9,0,12,0,22
2a94d4b86,23,1,24.1488,7235.16,30.2324,11283.4,tp,23,6,5,10,20,22,19,3,9,17,11,4,7,16,21,1,14,13,15,8,2,18,12,0,0,23
2ef429016,4,1,38.7787,2343.75,40.6347,4218.75,tp,18,4,0,8,12,21,13,3,9,22,1,14,5,10,17,15,2,23,16,6,19,20,11,7,1,2
2f594b20f,15,1,40.0427,93.75,43.3867,1125.0,tp,15,7,14,3,17,1,11,20,6,19,23,16,9,10,5,13,22,8,4,2,12,21,0,18,0,22
2ffaa6c02,15,1,53.3173,93.75,56.6613,1125.0,tp,17,7,15,11,19,20,14,6,3,16,10,1,22,9,23,5,13,12,2,8,4,0,18,21,2,21
304b4b5fd,21,1,0.9013,3281.25,1.9947,4125.0,tp,4,21,18,13,3,1,8,14,0,9,16,12,17,23,7,10,22,19,6,15,11,5,2,20,1,8
306f98294,19,1,10.2933,281.25,11.8453,2812.5,tp,1,19,16,13,17,3,14,0,8,4,5,21,6,10,22,23,20,2,11,7,18,15,9,12,1,7
30cd416ed,13,1,46.6773,93.75,47.3013,843.75,tp,4,21,13,18,8,1,3,0,14,16,9,17,7,22,15,10,19,11,12,23,6,5,2,20,2,7
3508bf762,22,1,17.8027,10687.5,19.408,13687.5,tp,22,23,6,5,3,15,19,10,7,1,17,14,21,11,20,2,4,9,13,8,16,12,18,0,0,23
3710abba6,0,1,49.2373,5906.25,50.528,7500.0,tp,0,19,5,8,2,12,16,15,1,3,6,22,10,13,18,17,7,23,14,9,20,4,11,21,0,0
377e04f82,11,1,28.1019,1808.79,29.2397,5684.77,tp,15,11,20,6,17,3,7,10,5,19,23,22,14,9,16,1,2,12,13,0,4,8,18,21,1,19
37d16f30f,10,1,33.0536,947.461,35.4975,10852.7,tp,11,20,10,6,5,23,17,22,9,19,3,7,1,16,12,2,14,4,15,0,18,13,8,21,2,19
399e17911,4,1,17.6373,2343.75,19.4933,4218.75,tp,8,18,0,1,4,21,12,13,22,5,3,9,23,14,15,10,16,2,19,6,17,7,11,20,4,2
3aa730d19,5,1,11.5307,4781.25,13.8827,10406.2,tp,5,12,3,8,22,18,1,23,0,19,10,15,13,4,2,9,7,6,16,14,17,20,21,11,0,8
3bb222791,11,1,1.1552,1808.79,2.293,5684.77,tp,11,20,7,17,6,19,15,10,3,14,9,16,23,5,22,1,12,2,13,4,8,0,18,21,0,21
3c4cf66fd,13,1,39.9573,93.75,40.5813,843.75,tp,13,4,1,3,21,18,16,15,17,19,14,7,5,8,22,9,10,12,0,6,11,20,2,23,0,18
400b7210c,17,1,48.448,1312.5,54.9013,3937.5,tp,19,17,7,9,3,16,15,20,14,11,10,23,5,1,6,2,13,22,0,18,21,12,8,4,1,18
41829d963,2,1,4.2933,468.75,6.0693,3000.0,tp,2,3,22,6,5,1,20,21,19,0,14,10,4,8,12,15,11,16,13,23,17,9,18,7,0,9
419259ac2,13,1,54.496,93.75,55.12,843.75,tp,13,21,4,8,1,16,15,18,3,19,7,5,22,17,14,0,9,12,10,23,6,11,20,2,0,15
