recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
0099c367b,17,4,51.4206,1464.26,55.1996,4565.04,tp,17,9,6,14,20,23,10,22,1,3,0,5,19,7,4,11,13,2,12,21,15,8,18,16,0,10
0209f7ab2,7,1,50.7573,4687.5,53.8987,11437.5,tp,11,20,6,7,23,22,19,10,17,0,2,16,15,21,4,3,8,9,18,1,14,13,12,5,3,9
0275e127d,11,1,11.9989,1808.79,13.1367,5684.77,tp,11,3,7,20,17,4,9,10,23,18,19,1,6,16,2,13,8,14,5,22,12,21,15,0,0,23
050d0ca85,3,1,49.92,1031.25,50.6613,2812.5,tp,1,15,3,23,22,9,20,8,14,5,10,19,12,21,0,13,2,6,7,17,16,18,4,11,2,14
053aeb7bd,23,4,9.8569,6459.96,17.7807,11627.9,tp,23,21,18,5,12,8,20,4,0,22,9,13,7,1,11,6,14,10,19,3,15,16,17,2,0,8
057802c25,11,1,4.2202,1808.79,5.358,5684.77,tp,11,23,10,18,6,4,22,5,9,15,21,17,20,1,3,0,14,16,19,2,13,12,7,8,0,15
067f49f8b,0,1,53.29600000000001,5906.25,54.0907,8250.0,tp,0,1,8,3,2,14,18,4,23,19,20,6,16,9,10,12,5,11,21,13,15,7,22,17,0,0
06a0c48c9,0,1,57.2213,5906.25,58.016000000000005,8250.0,tp,12,0,2,18,4,22,15,23,17,10,9,7,14,11,19,3,6,8,21,5,16,20,13,1,1,1
073e4d908,12,1,12.495999999999999,562.5,15.632,3281.25,tp,12,23,7,0,3,15,22,13,6,5,21,8,4,9,18,16,17,10,19,14,2,11,20,1,0,3
0a350d11c,19,1,11.5253,281.25,13.0773,2812.5,tp,19,1,23,3,14,20,5,18,10,9,11,22,0,6,17,4,8,13,7,21,16,15,2,12,0,12
0e29d05ed,15,1,31.936,93.75,35.28,1125.0,tp,15,3,7,16,23,20,22,17,1,12,11,6,0,10,8,9,19,4,5,2,14,13,18,21,0,12
0eb2079ea,3,1,5.5893,1031.25,6.3307,2812.5,tp,23,3,14,9,20,22,11,10,5,6,15,18,12,19,2,17,8,16,1,21,0,4,13,7,1,20
0f8cadb4a,13,1,34.4907,93.75,35.1147,843.75,tp,13,10,1,19,8,23,14,16,6,2,0,7,12,17,15,11,22,21,9,18,3,4,20,5,0,10
12a12f0fa,8,1,31.504,3750.0,35.6267,5531.25,tp,8,4,18,12,13,15,3,21,11,1,9,0,23,14,17,22,6,19,16,2,7,20,10,5,0,11
1375a05d1,21,1,28.1493,3281.25,29.2427,4125.0,tp,14,18,21,1,3,6,0,4,23,11,13,10,15,2,19,20,5,12,7,8,9,22,17,16,2,6
13c678c1d,1,1,0.8640000000000001,3843.75,1.76,5625.0,tp,1,14,8,4,2,19,21,13,6,3,11,0,9,7,23,18,10,15,17,16,22,20,12,5,0,11
13de5cabb,11,1,57.3359,1808.79,58.4737,5684.77,tp,11,5,20,23,16,6,19,9,10,22,17,3,0,15,7,18,13,8,4,14,21,12,2,1,0,12
14d467153,8,1,0.3733,3750.0,4.496,5531.25,tp,8,0,18,21,12,23,14,9,15,4,11,22,19,17,3,6,16,2,10,1,13,5,7,20,0,1
157a50231,0,1,35.7867,5906.25,36.5813,8250.0,tp,0,8,18,12,4,1,9,21,23,10,19,2,3,6,20,16,15,14,7,5,22,11,13,17,0,0
160add406,23,4,3.0534,6459.96,10.9772,11627.9,tp,23,20,3,10,22,6,14,9,5,11,12,18,15,0,17,2,4,7,21,19,16,13,1,8,0,13
1679e323d,14,1,8.6773,2531.25,9.264,5531.25,tp,7,3,11,14,23,20,6,10,12,0,18,16,22,4,21,13,19,1,9,2,8,17,5,15,3,9
16ccddf71,14,1,51.8773,2812.5,52.8,4406.25,tp,14,6,0,7,1,8,18,15,19,23,2,10,12,11,21,9,5,4,13,3,16,17,22,20,0,2
178b835e3,20,1,36.6453,2343.75,40.0853,5718.75,tp,16,15,20,7,3,0,1,19,11,4,5,12,8,14,23,13,22,17,6,9,18,2,10,21,2,5
19dfeda02,6,1,16.0693,562.5,18.2133,4406.25,tp,6,2,23,22,17,7,3,5,10,15,16,11,19,20,18,0,9,4,14,12,8,1,21,13,0,15
1a5fb3223,7,1,56.7893,4687.5,59.9307,11437.5,tp,15,7,14,23,11,4,6,22,1,0,12,9,21,19,10,17,16,8,13,3,2,20,18,5,1,9
