recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
00b404881,8,1,0.0747,3750.0,4.1973,5531.25,tp,21,8,4,12,23,3,22,13,18,10,14,0,9,2,1,20,16,5,15,17,6,19,7,11,1,11
011f25080,18,1,5.6853,3187.5,6.3787,5062.5,tp,18,4,13,21,3,14,8,0,2,5,19,23,1,6,16,12,22,15,10,17,20,9,7,11,0,7
0295e3234,11,1,5.1606,1808.79,6.2984,5684.77,tp,23,7,15,11,17,6,20,19,22,3,10,5,9,14,16,8,2,0,18,1,12,4,13,21,3,17
0313e82cf,16,4,21.471999999999998,3093.75,23.3067,4593.75,tp,16,1,3,22,0,18,4,13,5,8,9,21,19,10,7,20,6,23,15,2,17,11,14,12,0,4
0509303a5,6,1,23.7013,562.5,25.8453,4406.25,tp,6,11,17,19,22,20,9,15,7,10,0,23,12,2,3,4,14,18,5,8,16,1,13,21,0,10
07f1227b0,1,1,32.9387,3843.75,33.8347,5625.0,tp,14,23,12,20,7,11,8,2,19,13,16,0,4,6,21,22,3,9,17,1,10,18,5,15,19,11
133001416,3,1,14.88,1031.25,15.6213,2812.5,tp,19,6,9,5,20,17,11,22,10,3,15,23,12,1,2,18,7,8,0,4,16,13,14,21,9,18
1383208d3,10,1,50.4744,947.461,52.9183,10852.7,tp,10,23,5,11,6,3,19,22,7,17,9,12,20,0,15,1,4,2,18,8,14,13,16,21,0,13
141675c80,1,1,54.6933,3843.75,55.5893,5625.0,tp,21,8,13,9,1,3,23,22,16,12,14,2,4,17,15,5,10,18,7,19,0,6,20,11,4,20
156b77dfe,1,1,37.36,3843.75,38.256,5625.0,tp,0,9,12,3,22,18,1,10,23,2,5,17,13,6,15,20,19,4,21,7,8,16,14,11,6,0
