recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
003bec244,14,1,44.544,2531.25,45.1307,5531.25,tp,7,3,14,1,15,22,17,10,6,23,11,12,16,20,19,9,5,0,2,21,8,4,18,13,2,17
009b760e6,10,1,50.0854,947.461,52.5293,10852.7,tp,10,6,19,23,11,5,22,9,17,3,0,20,8,18,4,2,12,15,13,21,16,14,1,7,0,10
00d442df7,0,1,19.3653,5906.25,20.16,8250.0,tp,0,8,18,12,4,10,9,3,16,13,5,21,2,11,20,22,14,1,23,15,7,17,19,6,0,0
015113cad,15,1,50.0533,93.75,53.3973,1125.0,tp,6,22,17,19,11,16,10,23,3,5,15,7,20,2,8,9,18,12,14,1,0,4,21,13,10,20
01b41f92b,6,1,44.24,562.5,46.38399999999999,4406.25,tp,22,6,17,11,19,3,10,8,15,23,14,20,9,2,1,16,5,12,21,7,18,4,13,0,1,23
03b96f209,16,4,49.632,3093.75,51.4667,4593.75,tp,16,17,19,7,10,1,22,23,8,13,20,11,15,6,0,3,14,9,18,12,5,2,21,4,0,14
04e70a8e3,7,1,23.5947,4687.5,26.736,11437.5,tp,15,17,6,11,19,23,7,3,10,14,20,1,22,9,5,12,4,16,0,2,8,21,18,13,6,18
05b9c974c,2,1,31.984,468.75,33.76,3000.0,tp,2,22,6,5,23,9,19,1,3,15,10,12,11,0,16,14,7,20,21,4,8,18,13,17,0,13
068f1b8e2,12,1,22.864,562.5,26.0,3281.25,tp,12,23,4,5,18,3,22,13,8,0,14,10,16,19,6,21,15,20,2,11,9,1,17,7,0,9
0968aea09,12,1,5.7707,562.5,8.9067,3281.25,tp,12,3,23,15,5,18,0,22,9,1,17,20,19,21,8,6,4,16,7,14,10,2,11,13,0,6
0ab6aa734,9,1,49.4773,843.75,53.04,5718.75,tp,1,3,21,12,9,14,23,7,15,22,13,0,16,17,4,8,18,20,11,5,19,10,2,6,4,11
0c448e77c,17,4,36.2638,1464.26,40.0428,4565.04,tp,10,11,6,19,17,22,5,23,9,15,20,3,7,16,1,14,8,2,0,12,18,21,4,13,4,18
0e034f968,2,1,1.8933,468.75,3.6693,3000.0,tp,2,5,6,16,1,23,22,14,8,3,4,13,11,0,15,10,18,17,9,12,21,7,20,19,0,13
0e2e4ac19,2,1,44.56,468.75,46.336000000000006,3000.0,tp,2,13,1,16,18,14,0,4,3,10,12,15,7,5,6,22,11,21,8,20,17,23,19,9,0,6
0ea8ea68a,0,1,3.8027,5906.25,4.5973,8250.0,tp,0,10,5,3,19,18,1,8,11,12,22,7,17,21,14,20,15,23,16,2,6,4,9,13,0,0
0f99800b7,11,1,27.416999999999998,1808.79,28.5547,5684.77,tp,3,6,11,7,23,15,19,22,17,5,20,14,10,2,9,12,4,1,0,21,18,16,8,13,2,18
10dae79ed,18,1,30.191999999999997,3187.5,30.8853,5062.5,tp,12,18,4,3,0,23,21,1,5,9,8,16,15,22,19,11,13,20,6,10,14,7,17,2,1,4
11a52d37a,18,1,46.0693,3187.5,46.7627,5062.5,tp,12,18,4,21,13,3,8,0,1,22,16,23,9,11,5,19,20,10,17,15,14,2,6,7,1,7
12ec1d4cb,9,1,24.112,1125.0,26.9173,5250.0,tp,9,17,23,6,22,5,1,3,19,15,14,10,20,2,11,4,18,21,8,12,0,13,7,16,0,20
1414bbe17,14,1,14.6453,3750.0,14.9173,6468.75,tp,14,21,1,4,18,6,0,3,23,5,9,7,16,20,17,11,22,13,15,2,10,8,12,19,0,6
14948ff80,13,1,44.5013,93.75,45.1253,843.75,tp,13,1,16,20,10,12,22,9,3,15,11,6,17,5,2,4,0,21,18,8,7,19,14,23,0,16
1520a52ef,13,1,6.496,93.75,7.12,843.75,tp,13,18,4,12,8,0,21,3,1,20,10,11,22,14,9,17,6,19,5,15,23,2,7,16,0,5
1545e29b3,19,1,0.1387,281.25,1.6907,2812.5,tp,3,19,5,22,15,17,14,6,9,8,11,18,10,23,20,7,12,0,2,16,1,4,21,13,1,17
158c5acb6,16,4,18.8427,3093.75,20.6773,4593.75,tp,16,3,1,13,21,22,7,4,11,5,18,14,20,19,2,23,8,9,10,0,6,12,17,15,0,19
163e86660,3,1,58.06399999999999,1031.25,58.8053,2812.5,tp,23,3,10,12,20,19,22,6,5,17,15,7,16,14,0,18,2,1,11,9,4,8,21,13,1,14
1856bb5c2,22,1,36.4533,10687.5,38.0587,13687.5,tp,23,11,10,6,19,7,20,17,15,5,3,13,16,22,9,18,8,4,1,12,0,14,2,21,13,20
18c47b7f2,8,1,32.544000000000004,3750.0,36.6667,5531.25,tp,21,8,13,14,23,4,22,18,7,0,12,3,1,16,11,20,15,17,2,5,10,6,19,9,1,9
18df43462,5,1,46.8373,4781.25,49.1893,10406.2,tp,14,10,5,23,3,15,11,6,20,22,19,18,9,0,17,21,1,2,4,8,7,12,16,13,2,13
195e5ba43,19,1,25.184,281.25,26.736,2812.5,tp,19,11,15,6,7,17,10,23,22,20,9,3,5,16,1,21,14,2,12,8,13,4,0,18,0,22
1aa00dc63,23,4,41.2328,6459.96,49.1566,11627.9,tp,12,3,9,15,18,22,5,23,4,16,0,7,1,14,17,21,20,8,10,2,13,19,11,6,7,10
1ba9ee79a,1,1,5.9467,3843.75,6.8427,5625.0,tp,1,22,13,16,3,12,21,2,23,14,15,8,20,5,6,0,18,10,11,17,7,9,19,4,0,15
1bc8c196e,22,1,4.5973,10687.5,6.2027,13687.5,tp,22,21,8,12,5,1,3,16,13,2,23,14,9,15,7,17,18,0,4,10,19,20,6,11,0,17
1c46aa776,6,1,30.7307,562.5,32.8747,4406.25,tp,23,6,17,10,11,19,3,20,9,5,22,7,2,15,16,12,0,4,18,14,1,8,21,13,1,16
1d76cb226,21,1,49.711999999999996,3281.25,50.8053,4125.0,tp,8,21,13,0,14,7,22,4,1,20,23,11,16,17,19,2,6,5,12,3,18,10,15,9,1,3
1eb2a9113,7,1,28.4693,4687.5,31.6107,11437.5,tp,7,22,15,3,8,5,12,16,10,19,0,11,17,20,18,14,23,1,9,6,2,4,13,21,0,10
1f5dd26db,8,1,6.0907,3750.0,10.2133,5531.25,tp,8,21,4,13,22,18,14,3,7,1,0,12,11,23,9,2,16,5,20,17,6,19,15,10,0,10
20801bb7d,4,1,1.9093,2343.75,3.7653,4218.75,tp,4,18,0,23,12,5,13,11,9,8,19,22,20,10,21,6,16,15,14,17,1,7,3,2,0,2
2105bda77,11,1,49.0812,1808.79,50.218999999999994,5684.77,tp,6,11,19,10,17,23,22,9,5,20,7,14,15,2,3,21,4,1,8,18,0,12,16,13,1,20
23adb9473,20,1,51.504,2343.75,54.943999999999996,5718.75,tp,20,7,23,11,15,22,6,10,19,17,5,1,3,9,16,21,2,12,18,14,0,4,8,13,0,20
251569711,4,1,18.2133,2343.75,20.0693,4218.75,tp,4,18,13,8,21,12,3,0,22,1,9,5,14,11,17,20,2,16,6,19,15,23,10,7,0,7
2695a2878,23,1,45.3486,7235.16,51.4322,11283.4,tp,23,5,10,22,20,6,19,11,3,2,7,12,17,4,16,18,0,15,1,14,8,13,21,9,0,16
2717a930e,8,1,14.175999999999998,3750.0,18.2987,5531.25,tp,21,8,13,4,22,1,3,18,23,12,16,5,14,0,11,9,7,17,19,15,6,2,20,10,1,13
28fd95f7f,11,1,24.8802,1808.79,26.018,5684.77,tp,11,19,7,17,3,23,6,20,15,10,22,5,2,1,14,21,4,9,16,18,8,13,12,0,0,23
2a3c1f921,0,1,46.8587,5906.25,47.6533,8250.0,tp,0,18,12,10,14,3,23,15,19,16,11,9,8,4,5,2,22,7,6,13,17,20,1,21,0,0
2a7ed55d4,5,1,7.3013,4781.25,9.6533,10406.2,tp,10,5,23,20,19,22,17,3,6,15,11,7,9,16,1,0,2,14,12,8,18,4,21,13,1,15
2b9c8d234,8,1,37.5413,3750.0,41.663999999999994,5531.25,tp,21,8,4,13,22,3,18,16,5,12,23,1,11,14,9,17,2,19,6,10,7,0,15,20,1,21
