data_type,f_max,f_min,recording_id,songtype_id,species_id,t_max,t_min,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
tp,5531.25,2531.25,003bec244,1.0,14,45.1307,44.544,3,7,14,15,23,22,16,11,5,20,6,19,9,1,17,12,4,13,10,2,0,18,21,8,2,20
tp,10852.7,947.461,009b760e6,1.0,10,52.5293,50.0854,10,6,5,11,9,19,23,17,3,22,1,8,4,14,0,20,2,13,12,21,18,15,7,16,0,14
tp,8250.0,5906.25,00d442df7,1.0,0,20.16,19.3653,0,8,18,12,9,3,4,2,14,13,5,20,10,16,22,19,15,21,1,23,6,7,17,11,0,0
tp,1125.0,93.75,015113cad,1.0,15,53.3973,50.0533,6,5,17,11,3,7,15,19,22,9,10,23,20,1,13,14,4,12,2,16,18,0,21,8,6,21
tp,4406.25,562.5,01b41f92b,1.0,6,46.38399999999999,44.24,6,1,9,19,20,10,14,17,8,3,5,21,11,22,13,15,4,0,23,7,2,16,12,18,0,17
tp,4593.75,3093.75,03b96f209,4.0,16,51.4667,49.632,16,19,3,9,17,10,1,15,23,7,13,14,5,6,12,8,0,11,4,21,2,20,18,22,0,16
tp,11437.5,4687.5,04e70a8e3,1.0,7,26.736,23.5947,15,11,7,23,17,14,6,3,19,9,5,20,10,16,13,4,1,2,12,22,18,0,21,8,2,21
tp,3000.0,468.75,05b9c974c,1.0,2,33.76,31.984,23,2,9,6,17,22,1,5,3,13,19,11,0,15,20,7,10,14,12,18,16,4,8,21,1,12
tp,3281.25,562.5,068f1b8e2,1.0,12,26.0,22.864,12,3,18,14,13,2,8,22,5,4,16,6,0,11,9,20,15,1,21,17,10,19,7,23,0,12
tp,3281.25,562.5,0968aea09,1.0,12,8.9067,5.7707,3,12,18,14,5,22,4,15,13,9,23,0,20,6,19,7,16,1,2,8,17,11,10,21,1,11
tp,5718.75,843.75,0ab6aa734,1.0,9,53.04,49.4773,1,9,3,13,12,14,8,17,0,7,22,23,16,2,21,6,20,15,5,19,10,18,11,4,1,8
tp,4565.04,1464.26,0c448e77c,4.0,17,40.0428,36.2638,10,6,11,5,9,17,3,19,23,7,20,14,22,1,15,12,13,16,4,0,18,2,8,21,5,19
tp,3000.0,468.75,0e034f968,1.0,2,3.6693,1.8933,2,5,22,1,17,20,3,8,15,16,19,13,18,21,12,10,4,11,9,7,6,14,0,23,0,22
tp,3000.0,468.75,0e2e4ac19,1.0,2,46.336000000000006,44.56,2,22,23,15,20,17,19,1,18,10,12,9,4,13,6,16,0,11,5,7,3,14,8,21,0,16
tp,8250.0,5906.25,0ea8ea68a,1.0,0,4.5973,3.8027,0,18,3,12,5,9,15,19,2,22,20,4,1,14,7,13,10,8,6,23,11,16,17,21,0,0
tp,5684.77,1808.79,0f99800b7,1.0,11,28.5547,27.416999999999998,7,3,15,11,14,6,18,5,12,17,23,20,16,4,19,9,2,13,22,10,1,0,21,8,3,21
tp,5062.5,3187.5,10dae79ed,1.0,18,30.8853,30.191999999999997,18,12,3,4,5,14,13,0,22,8,19,20,2,15,6,23,16,1,21,9,11,7,10,17,0,7
tp,5062.5,3187.5,11a52d37a,1.0,18,46.7627,46.0693,4,12,18,8,13,3,0,21,1,22,19,14,9,2,5,15,6,16,7,23,20,17,10,11,2,6
tp,5250.0,1125.0,12ec1d4cb,1.0,9,26.9173,24.112,9,17,14,3,15,6,13,23,19,11,7,2,0,10,5,20,1,18,4,21,12,22,16,8,0,12
tp,6468.75,3750.0,1414bbe17,1.0,14,14.9173,14.6453,14,21,1,13,3,7,8,4,18,16,6,12,19,15,17,9,11,22,20,10,0,2,5,23,0,20
tp,843.75,93.75,14948ff80,1.0,13,45.1253,44.5013,13,1,16,4,10,17,19,9,20,2,15,6,11,5,3,14,22,8,0,7,18,12,23,21,0,18
tp,843.75,93.75,1520a52ef,1.0,13,7.12,6.496,13,18,12,4,3,8,21,0,1,14,15,10,19,22,9,16,20,6,2,5,7,23,17,11,0,7
tp,2812.5,281.25,1545e29b3,1.0,19,1.6907,0.1387,19,3,5,6,15,18,22,12,9,7,14,11,23,20,13,4,17,10,16,0,2,1,8,21,0,19
tp,4593.75,3093.75,158c5acb6,4.0,16,20.6773,18.8427,16,1,3,14,7,13,8,10,21,23,5,19,0,12,9,4,2,15,11,6,17,20,22,18,0,12
tp,2812.5,1031.25,163e86660,1.0,3,58.8053,58.06399999999999,3,19,5,12,6,4,13,18,22,16,15,14,23,7,1,21,11,20,9,10,0,2,17,8,0,20
tp,13687.5,10687.5,1856bb5c2,1.0,22,38.0587,36.4533,23,11,22,9,6,17,10,7,3,5,19,20,8,12,2,15,4,0,21,1,14,13,18,16,2,17
