recording_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
000316da7,-1.267103910446167,-3.7258388996124268,-3.6574630737304688,3.1465418338775635,-4.154914379119873,-2.9028117656707764,-4.991914749145508,-4.02573299407959,-4.20484733581543,-3.106332302093506,-4.708799362182617,-5.819055557250977,1.486943244934082,-6.069530487060547,0.38060304522514343,-1.887231707572937,-6.648978233337402,-4.584268569946289,2.799567222595215,-5.159184455871582,-3.9779622554779053,-2.830223798751831,-6.082696437835693,-3.943495750427246
003bc2cb2,-10.155712127685547,-2.2029170989990234,-6.041882514953613,1.6864198446273804,-7.816269397735596,-7.759740829467773,-4.909219741821289,-3.8139736652374268,-6.511901378631592,-2.328834295272827,-7.0368194580078125,-3.7921090126037598,-7.137682914733887,-7.11149787902832,-5.730168342590332,-5.053548812866211,6.470510482788086,-1.5893547534942627,-7.822147369384766,-6.687704563140869,-4.190182685852051,-6.5977020263671875,-8.378870964050293,-7.770130157470703
0061c037e,-3.5878241062164307,-3.8908119201660156,-4.947903633117676,-1.0518702268600464,-5.637816429138184,-3.4122719764709473,-3.3323326110839844,-0.11143277585506439,-5.985702037811279,-3.019570827484131,-4.6807708740234375,-1.363397479057312,-5.024449348449707,-6.814971923828125,-5.079677581787109,-2.7765698432922363,-2.84230375289917,-3.216697931289673,-3.3758320808410645,-3.993321657180786,-0.29972296953201294,-6.4908928871154785,-4.11937141418457,-3.127997398376465
010eb14d3,4.964384078979492,-5.4265546798706055,-7.005579948425293,3.1998705863952637,-4.194645404815674,-8.9595947265625,-9.550386428833008,-6.7014360427856445,3.5587656497955322,-4.8767290115356445,-7.350861549377441,-8.293797492980957,1.9643568992614746,-9.717915534973145,-6.1586761474609375,-8.414043426513672,-8.182744979858398,-7.912866592407227,5.358878135681152,-8.339163780212402,-9.711660385131836,-2.7338926792144775,-8.096067428588867,-7.835670471191406
011318064,-6.9602861404418945,-2.0120253562927246,-6.183891296386719,3.5146656036376953,-7.882200717926025,-5.56622314453125,-5.77992057800293,-3.1617679595947266,-8.115739822387695,-3.4248971939086914,-4.90015983581543,-4.084912300109863,-6.017433166503906,-6.0494842529296875,7.248383045196533,4.332880973815918,-5.207723140716553,-4.743688106536865,-1.7174415588378906,-7.55634880065918,-5.712996959686279,-4.381986618041992,-8.326028823852539,-5.705600738525391
01307e693,-8.914024353027344,-3.374422788619995,-7.844749450683594,3.9255452156066895,-7.868644714355469,-3.619642496109009,-3.0029871463775635,3.3649492263793945,-8.51679801940918,-2.6726303100585938,-4.827123165130615,-2.472273826599121,-6.414175033569336,-8.04485034942627,-4.648703575134277,3.007427215576172,-4.104794025421143,-2.1678848266601562,-5.483193397521973,-5.280013084411621,-4.7158942222595215,-4.690030097961426,-6.964252948760986,-2.540435791015625
013bd8b85,-4.41313362121582,-4.067039489746094,-3.744000196456909,3.8805813789367676,-3.324416160583496,-2.8453588485717773,-6.304896354675293,-4.912293434143066,-3.6750926971435547,-2.366410493850708,-5.911279678344727,-6.973666667938232,5.136146068572998,-3.3037033081054688,-2.9142813682556152,-3.1520798206329346,-6.03525447845459,-4.887510299682617,3.9493467807769775,-6.904933929443359,-6.161604404449463,-1.8299016952514648,-3.6322529315948486,-2.915120840072632
01812f522,-8.812820434570312,-2.1639294624328613,-4.729062080383301,1.9271997213363647,-6.29067325592041,-5.933367729187012,-2.497185468673706,-3.3137335777282715,-6.67795467376709,2.6788134574890137,-5.913367748260498,-4.085137367248535,-5.258391380310059,-6.635788917541504,-5.331602096557617,-3.4422783851623535,0.49299830198287964,3.163532018661499,-4.590230941772461,-4.994230270385742,-1.4100871086120605,-6.104912757873535,-7.44651985168457,-6.0205488204956055
019db5220,-4.906163215637207,-4.444475173950195,-5.406894683837891,4.21966552734375,-3.6633481979370117,4.5051164627075195,-6.377751350402832,-3.9334022998809814,-4.793083667755127,-5.664602279663086,-4.510327339172363,-7.63327693939209,3.0467286109924316,-6.899318218231201,-4.509586334228516,-2.459127902984619,-7.806625843048096,-6.226799011230469,2.757929801940918,-7.079201698303223,-6.528124809265137,-4.866319179534912,2.09023380279541,4.338615417480469
01bd97dd6,-6.598121166229248,-6.657224655151367,-8.492207527160645,4.123290538787842,-4.53898286819458,-1.3201017379760742,-6.212242126464844,-4.348341941833496,-6.58955717086792,-5.214489459991455,-5.495080947875977,-8.250293731689453,2.8263237476348877,-6.8731231689453125,-6.134733200073242,-5.00504207611084,-8.751665115356445,-5.835672378540039,1.7052619457244873,-7.62101936340332,-6.908263206481934,-5.674915313720703,-6.68250846862793,1.936460256576538
01d36def5,-5.290182113647461,-4.152587890625,-2.9111456871032715,-0.2961088716983795,-4.2234601974487305,0.016688525676727295,-5.962411880493164,2.9335951805114746,-4.918365955352783,-4.283379554748535,-4.549808502197266,-3.9155752658843994,-1.3064863681793213,-6.775853157043457,-5.304989814758301,-3.9092214107513428,-4.258417129516602,-5.07674503326416,0.2900649607181549,-4.314605712890625,-4.240266799926758,-5.828244209289551,-2.8517556190490723,-4.040580749511719
01fefebcb,-2.897291660308838,-2.4588379859924316,-4.2606730461120605,2.9044013023376465,-4.360597610473633,-2.626248836517334,-4.858004570007324,-4.016447067260742,-3.2912187576293945,-2.7254085540771484,-4.922721862792969,-6.060118675231934,1.2770674228668213,-5.336984634399414,0.800834059715271,-1.7368366718292236,-5.288358688354492,-4.348534107208252,1.8915467262268066,-4.797226905822754,-1.6583802700042725,-2.3707199096679688,-5.249269962310791,-4.276559829711914
0208fec47,-6.298449516296387,-3.072523832321167,-5.487456321716309,-0.34323376417160034,-7.604762554168701,-5.360672473907471,-1.8514020442962646,-1.3856210708618164,-7.827948570251465,-2.2510838508605957,-5.1284260749816895,4.1731181144714355,-6.7064208984375,-5.959139823913574,-1.7320184707641602,2.982210636138916,-4.54357385635376,-0.9609869718551636,-4.258350372314453,-5.368722915649414,-3.832610607147217,-6.9765543937683105,-6.304009437561035,-4.2380690574646
0232841d4,-3.8020708560943604,-3.2759881019592285,-4.97650671005249,1.94273042678833,-3.0699517726898193,-4.459354400634766,-5.534390449523926,-2.9671154022216797,-5.300209045410156,-4.4562273025512695,-5.080447196960449,-4.4844183921813965,-2.98130202293396,-4.740572929382324,4.551873207092285,-1.8733620643615723,-6.246702194213867,-5.128331184387207,1.3651782274246216,-5.5044965744018555,-4.928448677062988,0.07573316991329193,-5.781352519989014,-3.607619285583496
02c30604d,-8.182211875915527,-2.919649124145508,-3.8167595863342285,2.532792091369629,-7.016790390014648,-3.9295413494110107,-2.7340574264526367,4.428173065185547,-6.115987777709961,-2.4930100440979004,-2.7752466201782227,-2.273355484008789,-5.303603172302246,-6.7879638671875,-3.4307684898376465,0.43181049823760986,-0.980007529258728,-2.740324020385742,-4.641284942626953,-2.3972439765930176,-1.9101622104644775,-4.4043660163879395,2.2795236110687256,-3.3370611667633057
02dbcc383,-5.3241705894470215,-6.464407444000244,-6.084716796875,3.620046615600586,-5.716238498687744,-5.414446830749512,-8.971663475036621,-5.531872749328613,-5.300530910491943,-6.253231048583984,-8.628358840942383,-8.665054321289062,4.61305570602417,-7.166677474975586,-8.249205589294434,-6.112372398376465,-7.4649553298950195,-8.343223571777344,4.271350383758545,-9.192718505859375,-8.713428497314453,-5.306056976318359,-7.590387344360352,-5.050631523132324
0303dee3c,-9.347518920898438,4.084929466247559,-5.692685127258301,3.973128318786621,-7.81244421005249,-7.1881184577941895,-7.82133150100708,0.11892664432525635,-6.092207431793213,-5.208416938781738,-6.570672035217285,-4.821868896484375,-6.705755233764648,-5.988161087036133,4.441003799438477,-1.7708539962768555,-1.224439024925232,-6.604006767272949,-7.187573432922363,-6.093069076538086,-6.767673492431641,-3.8628089427948,-7.660058498382568,-6.574582099914551
034f46152,-6.595053672790527,-4.805281162261963,-0.27303946018218994,4.176678657531738,-4.739593505859375,-0.10907217860221863,-4.871771812438965,-4.333826065063477,-7.2701826095581055,-2.431515693664551,-4.765280723571777,-6.717078685760498,1.1726126670837402,-6.9271650314331055,-5.978389739990234,-4.488592147827148,-8.41572093963623,-3.908919334411621,-0.43125563859939575,-4.290349006652832,-4.060717582702637,-6.428969383239746,-5.860614776611328,2.7580692768096924
