recording_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
000316da7,0.48268961906433105,0.4407353699207306,0.46611613035202026,0.8848028779029846,0.39331498742103577,0.4598146378993988,0.4417116045951843,0.4322196841239929,0.3979718089103699,0.451918363571167,0.44943419098854065,0.3999207317829132,0.576837956905365,0.4533076286315918,0.44045180082321167,0.4411802291870117,0.4219221770763397,0.41598933935165405,0.733654260635376,0.4276687502861023,0.4429812431335449,0.4311977028846741,0.45720723271369934,0.5058326125144958
003bc2cb2,0.3873266875743866,0.4447198510169983,0.45015567541122437,0.49499937891960144,0.41709640622138977,0.4444451630115509,0.4481998085975647,0.4856274425983429,0.43843474984169006,0.4623531401157379,0.45566338300704956,0.4422474503517151,0.49187204241752625,0.45041748881340027,0.4250471293926239,0.41440585255622864,0.93073970079422,0.5717514753341675,0.4601612985134125,0.4472218453884125,0.4520716071128845,0.4448615312576294,0.37636545300483704,0.44357427954673767
0061c037e,0.4150424599647522,0.497855007648468,0.4674127399921417,0.5017729997634888,0.45336249470710754,0.45242825150489807,0.44965702295303345,0.4649437367916107,0.4683682322502136,0.44975557923316956,0.4563027620315552,0.46416807174682617,0.45730453729629517,0.4419704079627991,0.4311513304710388,0.4282378852367401,0.4459514021873474,0.4509247839450836,0.4775688648223877,0.4557810425758362,0.44617757201194763,0.41669243574142456,0.4593954086303711,0.44921064376831055
010eb14d3,0.9368744492530823,0.45515674352645874,0.4498968720436096,0.5790468454360962,0.43801018595695496,0.4365991950035095,0.4503209888935089,0.5493646264076233,0.9779090881347656,0.4675070345401764,0.44349393248558044,0.49947091937065125,0.5150299072265625,0.4663234055042267,0.44548720121383667,0.41087380051612854,0.44393789768218994,0.4275929927825928,0.9005498290061951,0.45098403096199036,0.4530580937862396,0.37623873353004456,0.5341989994049072,0.45977237820625305
011318064,0.48056092858314514,0.45750218629837036,0.42283597588539124,0.8477258086204529,0.3837394118309021,0.44853830337524414,0.4532124102115631,0.46931764483451843,0.31995537877082825,0.42472532391548157,0.4280530512332916,0.4614412188529968,0.3863944709300995,0.43884333968162537,0.909521222114563,0.6395313739776611,0.42877739667892456,0.38948941230773926,0.5152926445007324,0.4101945459842682,0.41993701457977295,0.4375677704811096,0.3824690282344818,0.44584226608276367
01307e693,0.4587434232234955,0.46056878566741943,0.41468966007232666,0.8658797144889832,0.36103975772857666,0.440580278635025,0.43130651116371155,0.9065036773681641,0.418072909116745,0.45120304822921753,0.44534021615982056,0.49556177854537964,0.4092411398887634,0.4329887926578522,0.4549042880535126,0.750786542892456,0.4456186890602112,0.4220731556415558,0.47273409366607666,0.42712363600730896,0.4394146800041199,0.4367990493774414,0.4007047414779663,0.44456616044044495
013bd8b85,0.43783414363861084,0.43073543906211853,0.4279559552669525,0.855573296546936,0.43363770842552185,0.4649849832057953,0.44918349385261536,0.4191027879714966,0.4604027569293976,0.6103461980819702,0.44715479016304016,0.43603578209877014,0.9145195484161377,0.6696369647979736,0.46370187401771545,0.41886335611343384,0.42263874411582947,0.4492330551147461,0.7891254425048828,0.43791642785072327,0.4442525804042816,0.4588671922683716,0.5180675387382507,0.4569575786590576
01812f522,0.4290008842945099,0.45688173174858093,0.4377998113632202,0.869530975818634,0.39578795433044434,0.44433164596557617,0.4358266294002533,0.442789763212204,0.41334301233291626,0.7209089398384094,0.44716861844062805,0.44149136543273926,0.461777925491333,0.43908947706222534,0.4335867166519165,0.4330745041370392,0.8863419890403748,0.8830879926681519,0.5283585786819458,0.44380655884742737,0.45087093114852905,0.4397278428077698,0.3813338875770569,0.4459899067878723
019db5220,0.4535372257232666,0.47661149501800537,0.4398047924041748,0.8107238411903381,0.4361891448497772,0.84798264503479,0.45153576135635376,0.4448876678943634,0.4099447727203369,0.44754642248153687,0.4499078392982483,0.49226251244544983,0.45086535811424255,0.44705989956855774,0.4292915165424347,0.42669782042503357,0.4574229419231415,0.45575854182243347,0.42752355337142944,0.44801807403564453,0.4521051347255707,0.4077025055885315,0.6003446578979492,0.8825893998146057
01bd97dd6,0.41147446632385254,0.448395311832428,0.4597218930721283,0.8814111948013306,0.4159558415412903,0.4553682506084442,0.4475070834159851,0.45405593514442444,0.4366844892501831,0.4495936334133148,0.4537663161754608,0.43157535791397095,0.5019829869270325,0.4555659890174866,0.44487130641937256,0.4378739893436432,0.45149925351142883,0.45599400997161865,0.48386669158935547,0.4520595073699951,0.44889622926712036,0.49533575773239136,0.5045955181121826,0.46858149766921997
