recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
0099c367b,17,4,51.4206,1464.26,55.1996,4565.04,tp,21,8,13,22,4,18,2,12,0,20,23,1,5,10,7,15,19,9,14,16,11,17,3,6
0209f7ab2,7,1,50.7573,4687.5,53.8987,11437.5,tp,21,13,8,18,12,4,0,22,2,5,1,15,16,23,9,14,19,3,17,20,10,7,6,11
0275e127d,11,1,11.9989,1808.79,13.1367,5684.77,tp,21,13,12,18,8,4,0,22,1,5,2,23,15,9,16,14,3,10,19,20,17,7,6,11
050d0ca85,3,1,49.92,1031.25,50.6613,2812.5,tp,21,8,4,22,2,20,5,23,10,0,18,1,12,11,7,9,13,19,14,17,16,3,6,15
053aeb7bd,23,4,9.8569,6459.96,17.7807,11627.9,tp,19,16,15,2,17,22,20,6,13,11,5,7,21,10,8,9,4,1,12,14,3,0,18,23
057802c25,11,1,4.2202,1808.79,5.358,5684.77,tp,21,13,8,4,22,2,18,15,12,0,5,1,9,23,19,17,7,14,16,20,3,6,10,11
067f49f8b,0,1,53.29600000000001,5906.25,54.0907,8250.0,tp,20,5,22,19,10,17,11,23,6,15,7,16,2,13,9,12,3,1,8,4,21,18,14,0
06a0c48c9,0,1,57.2213,5906.25,58.016000000000005,8250.0,tp,20,19,11,15,16,17,22,7,10,13,5,6,2,21,14,1,23,8,4,9,3,0,18,12
073e4d908,12,1,12.495999999999999,562.5,15.632,3281.25,tp,20,19,15,11,17,16,14,6,1,21,7,10,13,2,22,5,4,8,9,0,3,18,23,12
0a350d11c,19,1,11.5253,281.25,13.0773,2812.5,tp,4,21,22,8,13,15,18,12,0,1,17,9,23,5,20,7,2,10,14,16,11,3,6,19
0e29d05ed,15,1,31.936,93.75,35.28,1125.0,tp,18,12,8,4,0,21,20,1,2,5,22,9,23,11,10,14,19,17,13,16,6,3,7,15
0eb2079ea,3,1,5.5893,1031.25,6.3307,2812.5,tp,21,13,4,8,18,22,15,0,1,2,20,12,9,5,10,14,17,11,16,7,19,23,6,3
0f8cadb4a,13,1,34.4907,93.75,35.1147,843.75,tp,17,6,20,12,9,23,8,5,22,11,18,0,19,4,3,10,2,21,14,15,16,7,1,13
12a12f0fa,8,1,31.504,3750.0,35.6267,5531.25,tp,20,16,19,11,17,15,22,6,10,7,2,23,1,14,5,13,9,3,0,12,21,4,18,8
1375a05d1,21,1,28.1493,3281.25,29.2427,4125.0,tp,5,2,23,7,19,22,10,15,17,20,11,6,12,16,9,0,13,3,18,8,1,4,14,21
13c678c1d,1,1,0.8640000000000001,3843.75,1.76,5625.0,tp,20,5,22,17,11,23,19,10,15,6,7,12,2,8,9,13,18,0,4,16,3,21,14,1
13de5cabb,11,1,57.3359,1808.79,58.4737,5684.77,tp,21,13,8,4,18,22,12,1,0,2,15,23,9,5,14,17,10,16,3,7,6,19,20,11
14d467153,8,1,0.3733,3750.0,4.496,5531.25,tp,20,17,16,6,11,15,19,22,7,23,10,2,13,9,1,5,14,3,4,12,21,18,0,8
157a50231,0,1,35.7867,5906.25,36.5813,8250.0,tp,16,5,20,23,19,17,7,10,11,6,13,22,15,9,2,21,1,14,4,3,12,8,18,0
