recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
00b404881,8,1,0.0747,3750.0,4.1973,5531.25,tp,10,17,0,5,9,7,16,6,22,11,1,15,20,23,2,19,12,13,18,3,14,4,21,8
011f25080,18,1,5.6853,3187.5,6.3787,5062.5,tp,7,15,17,16,22,5,2,10,20,19,11,9,23,6,14,12,0,3,1,8,13,18,21,4
0295e3234,11,1,5.1606,1808.79,6.2984,5684.77,tp,21,8,18,12,0,2,4,13,19,1,9,22,16,14,5,3,17,10,20,7,6,11,15,23
0313e82cf,16,4,21.471999999999998,3093.75,23.3067,4593.75,tp,11,15,23,6,5,9,18,14,17,0,20,8,22,10,4,2,21,7,12,19,13,3,1,16
0509303a5,6,1,23.7013,562.5,25.8453,4406.25,tp,21,8,2,0,13,12,1,18,16,15,14,3,22,4,19,9,23,5,17,7,10,20,11,6
07f1227b0,1,1,32.9387,3843.75,33.8347,5625.0,tp,2,16,19,12,13,10,5,20,6,0,22,11,18,17,15,9,4,23,1,8,3,21,7,14
133001416,3,1,14.88,1031.25,15.6213,2812.5,tp,21,4,13,8,18,12,2,15,0,19,22,9,14,23,1,10,17,7,6,16,20,11,5,3
1383208d3,10,1,50.4744,947.461,52.9183,10852.7,tp,8,19,18,20,2,15,12,7,13,16,14,1,0,21,17,4,9,11,3,22,5,6,10,23
141675c80,1,1,54.6933,3843.75,55.5893,5625.0,tp,17,10,20,22,15,11,19,0,5,6,7,23,16,9,2,12,18,13,8,4,3,1,14,21
156b77dfe,1,1,37.36,3843.75,38.256,5625.0,tp,22,11,6,10,21,20,19,7,16,4,17,23,14,15,8,5,13,1,9,18,0,3,2,12
15d9e6d8b,18,1,36.6453,3187.5,37.3387,5062.5,tp,15,7,17,16,22,2,20,19,14,5,10,11,9,6,23,12,1,8,0,3,13,21,18,4
160add406,23,4,18.6805,6459.96,26.6043,11627.9,tp,8,22,18,15,0,2,19,13,12,21,14,4,17,10,1,9,11,20,7,16,6,5,3,23
160b70831,2,1,1.9413,468.75,3.7173,3000.0,tp,11,14,17,21,6,10,13,20,8,4,22,7,23,18,0,1,5,16,15,19,9,3,12,2
16fc37168,1,1,29.36,3843.75,30.256,5625.0,tp,15,17,7,11,6,10,19,22,20,16,23,14,21,13,5,9,1,2,4,8,3,0,18,12
16ffcf223,14,1,16.9973,2812.5,17.92,4406.25,tp,10,16,12,5,19,20,2,11,6,0,17,15,13,22,18,9,23,7,4,3,1,8,21,14
1702d35a0,22,1,28.2453,10687.5,29.8507,13687.5,tp,8,19,18,20,12,14,2,16,1,7,21,0,4,9,13,11,15,17,6,5,10,3,23,22
17ca62c97,4,1,32.9173,2343.75,34.7733,4218.75,tp,7,17,15,16,10,22,20,11,5,19,2,6,14,9,23,0,1,3,13,12,8,18,21,4
184322f0e,22,1,54.8,10687.5,56.4053,13687.5,tp,11,20,19,12,0,2,7,8,17,18,9,6,4,15,21,10,5,13,16,23,14,3,1,22
