data_type,f_max,f_min,recording_id,songtype_id,species_id,t_max,t_min,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
tp,4565.04,1464.26,0099c367b,4.0,17,55.1996,51.4206,9,17,6,10,20,22,14,23,11,7,1,5,3,19,0,2,15,8,13,4,18,12,16,21,1,14
tp,11437.5,4687.5,0209f7ab2,1.0,7,53.8987,50.7573,11,7,20,10,23,22,15,3,6,17,19,12,2,16,14,9,5,1,4,0,8,13,18,21,1,19
tp,5684.77,1808.79,0275e127d,1.0,11,13.1367,11.9989,7,11,3,20,16,23,17,10,19,15,22,9,6,12,14,1,2,0,8,13,5,4,21,18,1,17
tp,2812.5,1031.25,050d0ca85,1.0,3,50.6613,49.92,23,10,15,1,14,5,17,22,3,7,6,20,0,11,19,9,2,13,16,12,18,4,8,21,8,12
tp,11627.9,6459.96,053aeb7bd,4.0,23,17.7807,9.8569,23,12,3,5,6,16,11,18,13,7,22,10,0,4,21,15,9,19,2,17,14,8,1,20,0,12
tp,5684.77,1808.79,057802c25,1.0,11,5.358,4.2202,11,6,23,10,17,5,3,22,7,14,20,2,0,9,12,15,19,1,18,16,4,13,8,21,0,12
tp,8250.0,5906.25,067f49f8b,1.0,0,54.0907,53.29600000000001,0,18,1,4,8,3,16,12,21,13,19,2,9,6,17,23,14,10,15,20,11,22,5,7,0,0
tp,8250.0,5906.25,06a0c48c9,1.0,0,58.016000000000005,57.2213,0,18,12,4,8,2,15,17,13,5,3,19,10,16,21,9,23,6,1,22,14,11,20,7,0,0
tp,3281.25,562.5,073e4d908,1.0,12,15.632,12.495999999999999,12,23,3,6,18,5,17,13,4,0,11,20,16,10,19,2,8,14,15,9,22,21,1,7,0,9
tp,2812.5,281.25,0a350d11c,1.0,19,13.0773,11.5253,19,23,5,14,10,9,6,22,11,12,7,3,13,0,18,2,17,1,15,8,20,4,21,16,0,13
tp,1125.0,93.75,0e29d05ed,1.0,15,35.28,31.936,15,3,7,16,17,19,23,11,20,10,9,6,22,1,12,0,2,4,8,14,13,5,21,18,0,15
tp,2812.5,1031.25,0eb2079ea,1.0,3,6.3307,5.5893,5,23,11,3,22,7,20,14,10,19,15,6,2,17,0,9,12,16,18,13,1,8,4,21,3,14
