data_type,f_max,f_min,recording_id,songtype_id,species_id,t_max,t_min,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
tp,5531.25,3750.0,00b404881,1.0,8,4.1973,0.0747,21,8,22,12,4,14,3,0,23,13,9,18,5,16,1,11,19,17,2,20,6,7,10,15,1,7
tp,5062.5,3187.5,011f25080,1.0,18,6.3787,5.6853,4,18,21,13,12,3,1,14,0,8,16,6,5,10,23,20,19,9,22,11,7,2,15,17,1,8
tp,5684.77,1808.79,0295e3234,1.0,11,6.2984,5.1606,11,15,23,20,7,10,6,3,17,9,2,14,22,5,1,13,0,21,16,4,19,8,18,12,0,16
tp,4593.75,3093.75,0313e82cf,4.0,16,23.3067,21.471999999999998,16,1,3,15,4,10,21,7,17,6,2,9,23,8,0,22,20,13,12,19,11,14,5,18,0,14
tp,4406.25,562.5,0509303a5,1.0,6,25.8453,23.7013,6,11,7,10,9,17,15,21,14,1,0,20,4,13,2,12,3,19,16,18,22,23,8,5,0,10
tp,5625.0,3843.75,07f1227b0,1.0,1,33.8347,32.9387,14,7,6,15,21,17,9,1,19,22,5,3,20,2,18,13,23,16,8,0,10,4,12,11,7,19
tp,2812.5,1031.25,133001416,1.0,3,15.6213,14.88,10,3,20,5,9,17,23,11,0,1,16,22,7,15,6,2,12,21,14,18,8,19,4,13,1,8
tp,10852.7,947.461,1383208d3,1.0,10,52.9183,50.4744,10,23,5,3,11,4,12,7,1,6,9,15,20,13,22,19,21,16,0,8,14,2,17,18,0,18
tp,5625.0,3843.75,141675c80,1.0,1,55.5893,54.6933,1,16,3,21,14,8,9,22,7,23,0,10,17,18,20,15,13,11,2,19,6,5,4,12,0,10
tp,5625.0,3843.75,156b77dfe,1.0,1,38.256,37.36,0,12,9,3,1,2,23,6,18,10,5,21,20,7,14,17,4,11,19,22,8,16,13,15,4,0
tp,5062.5,3187.5,15d9e6d8b,1.0,18,37.3387,36.6453,18,4,21,0,12,14,13,8,3,9,5,1,2,23,20,22,10,6,7,16,11,19,17,15,0,3
tp,11627.9,6459.96,160add406,4.0,23,26.6043,18.6805,23,3,10,5,9,12,17,6,11,1,0,19,20,15,7,16,22,2,14,18,4,13,8,21,0,10
tp,3000.0,468.75,160b70831,1.0,2,3.7173,1.9413,2,12,3,9,6,20,23,14,7,21,8,15,22,5,17,16,19,11,13,0,4,18,10,1,0,19
tp,5625.0,3843.75,16fc37168,1.0,1,30.256,29.36,1,12,16,0,21,8,18,7,2,3,23,4,13,22,19,11,20,10,5,14,6,17,9,15,0,3
tp,4406.25,2812.5,16ffcf223,1.0,14,17.92,16.9973,14,21,1,6,18,15,4,7,5,17,9,19,0,22,8,23,13,3,11,20,10,2,16,12,0,12
tp,13687.5,10687.5,1702d35a0,1.0,22,29.8507,28.2453,22,10,9,17,3,23,20,5,1,6,0,14,15,21,7,16,2,11,19,8,4,12,13,18,0,10
tp,4218.75,2343.75,17ca62c97,1.0,4,34.7733,32.9173,4,21,18,13,3,12,8,1,23,14,16,0,11,5,22,19,9,10,6,7,2,20,17,15,0,11
tp,13687.5,10687.5,184322f0e,1.0,22,56.4053,54.8,22,1,21,2,0,3,10,5,23,14,7,6,19,11,20,12,4,9,15,16,8,18,13,17,0,4
tp,11437.5,4687.5,18e249f36,1.0,7,32.016,28.8747,10,20,3,23,11,22,5,9,17,7,1,0,21,2,15,6,16,8,14,18,12,19,13,4,9,11
tp,4593.75,3093.75,1a3993962,4.0,16,49.9787,48.144,16,1,4,10,23,15,6,2,7,17,9,12,21,8,20,0,3,11,19,5,13,18,14,22,0,15
tp,4593.75,3093.75,1ef3e2282,4.0,16,26.2933,24.4587,7,16,1,15,10,11,3,5,22,14,20,23,4,6,17,2,0,21,12,9,8,19,18,13,1,16
tp,13687.5,10687.5,1f0fe1c7e,1.0,22,31.9787,30.3733,22,10,3,9,17,1,23,11,20,5,7,15,0,16,6,2,14,21,8,19,12,13,4,18,0,12
