data_type,f_max,f_min,recording_id,songtype_id,species_id,t_max,t_min,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
tp,3281.25,562.5,007f87ba2,1.0,12,42.272,39.135999999999996,12,1,3,21,18,8,13,5,22,4,2,9,15,23,0,19,16,14,17,7,11,6,10,20,0,14
tp,10852.7,947.461,009b760e6,1.0,10,52.5293,50.0854,10,5,6,23,9,3,12,13,22,19,18,2,1,8,21,11,17,4,20,15,0,16,7,14,0,20
tp,5062.5,3187.5,011f25080,1.0,18,6.3787,5.6853,4,18,21,1,14,13,3,15,8,22,20,0,5,12,6,10,9,2,11,17,19,16,23,7,1,11
tp,1125.0,93.75,015113cad,1.0,15,53.3973,50.0533,6,5,10,17,23,12,7,3,16,20,1,15,22,13,9,2,8,11,19,18,0,21,4,14,11,20
tp,4406.25,562.5,01b41f92b,1.0,6,46.38399999999999,44.24,6,15,5,23,12,1,10,3,22,13,8,18,2,9,4,21,7,17,0,11,16,14,19,20,0,18
tp,4406.25,562.5,0509303a5,1.0,6,25.8453,23.7013,6,11,10,1,4,13,14,17,7,2,8,19,0,22,21,16,18,5,20,15,23,12,9,3,0,12
tp,11627.9,6459.96,053aeb7bd,4.0,23,17.7807,9.8569,23,5,3,12,4,8,16,18,2,0,1,14,21,7,15,17,13,9,22,19,11,20,6,10,0,9
tp,5625.0,3843.75,07f1227b0,1.0,1,33.8347,32.9387,14,1,21,13,18,0,11,5,23,8,4,9,16,10,6,7,15,17,12,2,22,19,3,20,1,5
tp,4125.0,3281.25,0c2124550,1.0,21,19.3227,18.2293,8,21,4,18,1,12,14,13,0,22,16,5,3,9,2,17,23,15,11,19,10,7,20,6,1,8
tp,1125.0,93.75,0e29d05ed,1.0,15,35.28,31.936,15,7,3,16,23,17,11,20,5,14,9,10,0,22,1,19,6,2,13,12,18,8,21,4,0,12
tp,8250.0,5906.25,0ea8ea68a,1.0,0,4.5973,3.8027,18,0,3,1,14,23,12,22,10,8,5,2,9,15,7,19,11,6,17,21,20,13,4,16,1,1
tp,843.75,93.75,0f8cadb4a,1.0,13,35.1147,34.4907,13,5,1,15,16,19,8,23,18,9,0,10,3,7,4,14,2,21,22,12,17,11,20,6,0,10
tp,5062.5,3187.5,0fc62dd3c,1.0,18,10.335999999999999,9.6427,18,1,0,12,4,8,3,14,15,21,9,23,22,2,13,5,10,17,11,19,7,6,20,16,0,2
tp,5250.0,1125.0,12ec1d4cb,1.0,9,26.9173,24.112,9,6,17,20,10,14,8,1,11,23,4,18,3,0,5,22,13,16,21,2,19,15,12,7,0,13
tp,10852.7,947.461,1383208d3,1.0,10,52.9183,50.4744,23,10,6,5,12,4,16,3,21,8,1,0,22,13,2,18,17,19,15,7,11,14,9,20,1,11
tp,5625.0,3843.75,13f64f898,1.0,1,36.3573,35.4613,1,14,21,18,4,13,3,16,15,11,7,22,2,5,8,23,19,6,0,10,17,20,9,12,0,18
tp,843.75,93.75,14948ff80,1.0,13,45.1253,44.5013,13,1,4,3,18,16,15,19,23,21,9,2,22,10,14,0,12,20,5,6,8,17,11,7,0,15
tp,2812.5,1031.25,14f6cbe5c,1.0,3,54.3413,53.6,20,7,3,15,23,5,16,11,0,10,19,2,17,14,22,9,1,6,18,12,8,13,21,4,2,8
tp,843.75,93.75,1520a52ef,1.0,13,7.12,6.496,18,13,4,12,3,14,23,15,9,21,5,2,22,10,6,19,8,0,1,11,16,7,20,17,1,17
tp,11627.9,6459.96,160add406,4.0,23,26.6043,18.6805,23,3,5,6,9,12,4,16,0,1,10,22,8,21,2,7,18,17,14,15,11,13,19,20,0,8
tp,2812.5,1031.25,163e86660,1.0,3,58.8053,58.06399999999999,3,5,23,6,12,2,9,10,7,15,17,22,18,1,14,19,16,21,13,11,20,4,0,8,0,22
tp,5531.25,2531.25,1679e323d,1.0,14,9.264,8.6773,14,7,3,5,23,18,2,10,0,15,1,11,20,9,17,22,12,8,19,21,16,6,13,4,0,8
tp,4406.25,2812.5,16ffcf223,1.0,14,17.92,16.9973,14,4,21,1,18,8,0,2,11,5,16,13,6,3,9,12,23,15,10,22,19,17,7,20,0,6
tp,4406.25,562.5,180ba3012,1.0,6,50.496,48.352,6,11,7,10,5,20,17,23,3,15,22,8,1,9,4,2,13,16,14,0,19,21,18,12,0,19
tp,5625.0,3843.75,1ba9ee79a,1.0,1,6.8427,5.9467,1,14,18,21,16,3,13,8,11,7,2,22,4,12,5,23,0,15,10,9,17,20,6,19,0,16
tp,4406.25,562.5,1c46aa776,1.0,6,32.8747,30.7307,23,6,2,11,5,7,20,4,1,16,12,10,3,9,19,13,21,0,22,18,17,14,8,15,1,17
tp,3281.25,562.5,1ca8c8af6,1.0,12,3.8187,0.6827,8,18,12,0,22,3,9,1,21,23,4,13,5,14,15,2,17,7,10,11,19,16,20,6,2,3
tp,1125.0,93.75,1d949c49d,1.0,15,36.9867,33.6427,23,5,7,2,15,3,12,1,16,14,0,10,9,22,19,20,11,6,8,17,21,13,4,18,4,10
tp,4406.25,562.5,1e0e340e1,1.0,6,46.1973,44.0533,6,3,20,5,9,1,23,7,17,12,10,15,18,2,16,13,22,11,0,19,14,8,21,4,0,18
tp,5684.77,1808.79,1f2260885,1.0,11,8.1908,7.0531,11,6,7,10,20,17,5,22,23,3,14,12,15,19,8,2,1,13,9,18,16,0,4,21,0,21
tp,4218.75,2343.75,1fd650183,1.0,4,36.992,35.135999999999996,4,13,18,6,5,21,20,15,9,10,12,8,0,22,2,14,11,1,19,3,17,16,23,7,0,12
tp,4218.75,2343.75,20801bb7d,1.0,4,3.7653,1.9093,4,18,0,22,12,13,3,21,14,8,2,15,5,23,9,20,17,11,10,1,19,6,16,7,0,2
tp,5684.77,1808.79,2105bda77,1.0,11,50.218999999999994,49.0812,11,6,10,17,9,19,23,5,22,7,20,14,15,13,3,12,1,0,8,2,18,16,21,4,0,17
tp,843.75,93.75,22a2faf44,1.0,13,19.855999999999998,19.232,13,18,3,15,4,12,21,1,14,8,5,9,23,22,2,19,7,0,10,11,17,16,20,6,0,17
tp,13687.5,10687.5,22eaad9ca,1.0,22,54.0053,52.4,22,6,5,10,23,3,7,9,2,1,18,20,14,17,8,11,19,16,12,4,15,13,21,0,0,23
tp,5718.75,2343.75,23adb9473,1.0,20,54.943999999999996,51.504,20,7,11,3,23,10,2,14,5,15,17,0,22,16,18,8,19,9,6,1,13,12,21,4,0,11
