recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
0099c367b,17,4,51.4206,1464.26,55.1996,4565.04,tp,21,13,16,15,12,18,8,2,1,0,4,7,14,22,23,3,19,5,17,9,20,11,10,6
0209f7ab2,7,1,50.7573,4687.5,53.8987,11437.5,tp,21,13,1,0,8,2,16,22,14,18,4,15,12,23,19,5,3,7,9,10,17,6,11,20
0275e127d,11,1,11.9989,1808.79,13.1367,5684.77,tp,21,13,4,8,1,2,0,18,12,14,22,16,15,5,23,9,3,19,7,6,10,11,17,20
050d0ca85,3,1,49.92,1031.25,50.6613,2812.5,tp,21,13,16,4,8,18,12,2,1,19,17,9,15,22,11,0,20,7,14,23,3,5,6,10
053aeb7bd,23,4,9.8569,6459.96,17.7807,11627.9,tp,12,15,16,22,20,2,18,21,11,17,13,19,9,4,0,7,6,8,10,3,5,1,14,23
057802c25,11,1,4.2202,1808.79,5.358,5684.77,tp,21,13,18,12,8,16,2,4,1,15,0,14,3,19,7,22,17,9,5,23,20,11,10,6
067f49f8b,0,1,53.29600000000001,5906.25,54.0907,8250.0,tp,7,11,20,15,16,17,10,19,2,23,6,22,5,14,9,1,12,3,13,21,8,0,18,4
06a0c48c9,0,1,57.2213,5906.25,58.016000000000005,8250.0,tp,11,15,16,17,20,21,19,13,7,6,22,14,10,2,23,1,9,5,4,8,3,12,18,0
073e4d908,12,1,12.495999999999999,562.5,15.632,3281.25,tp,14,19,17,11,16,20,21,10,6,7,4,15,1,13,22,0,9,2,8,5,18,3,12,23
0a350d11c,19,1,11.5253,281.25,13.0773,2812.5,tp,21,13,4,15,2,1,14,9,8,7,22,11,17,20,23,18,0,16,12,3,5,6,10,19
0e29d05ed,15,1,31.936,93.75,35.28,1125.0,tp,21,4,8,18,22,0,2,11,6,1,12,23,5,10,9,13,20,19,14,16,17,3,7,15
0eb2079ea,3,1,5.5893,1031.25,6.3307,2812.5,tp,21,13,4,2,8,18,12,0,22,15,1,14,23,16,9,3,7,17,11,20,19,5,6,10
0f8cadb4a,13,1,34.4907,93.75,35.1147,843.75,tp,18,11,0,9,5,12,2,23,10,6,22,20,17,8,19,7,3,16,21,4,14,1,15,13
12a12f0fa,8,1,31.504,3750.0,35.6267,5531.25,tp,10,7,20,11,15,16,6,17,19,23,22,5,2,9,14,1,12,0,3,13,21,8,18,4
1375a05d1,21,1,28.1493,3281.25,29.2427,4125.0,tp,23,12,16,11,7,15,20,22,18,17,10,2,5,19,6,9,0,8,13,3,4,1,21,14
13c678c1d,1,1,0.8640000000000001,3843.75,1.76,5625.0,tp,11,23,16,12,20,22,15,7,17,18,10,19,6,2,5,9,0,8,13,3,4,21,1,14
13de5cabb,11,1,57.3359,1808.79,58.4737,5684.77,tp,21,13,8,18,1,0,2,16,12,15,4,14,23,22,19,3,7,17,9,5,20,6,10,11
14d467153,8,1,0.3733,3750.0,4.496,5531.25,tp,11,16,17,20,15,7,19,22,6,10,2,23,14,13,9,5,21,1,12,3,4,8,0,18
157a50231,0,1,35.7867,5906.25,36.5813,8250.0,tp,11,16,15,20,17,22,7,19,23,6,2,10,13,5,21,9,14,12,1,4,3,18,8,0
160add406,23,4,3.0534,6459.96,10.9772,11627.9,tp,16,21,8,13,12,1,2,15,18,14,0,4,19,17,11,20,5,9,3,22,7,6,10,23
1679e323d,14,1,8.6773,2531.25,9.264,5531.25,tp,21,13,11,12,16,4,18,8,22,20,23,1,15,0,17,9,6,10,19,3,7,2,5,14
16ccddf71,14,1,51.8773,2812.5,52.8,4406.25,tp,11,23,12,18,20,16,22,17,15,7,10,6,19,9,2,5,0,8,13,3,4,21,1,14
178b835e3,20,1,36.6453,2343.75,40.0853,5718.75,tp,21,4,8,0,18,5,22,2,12,13,6,23,1,9,10,11,14,20,19,3,17,7,16,15
19dfeda02,6,1,16.0693,562.5,18.2133,4406.25,tp,21,13,4,12,8,18,23,11,1,0,22,15,14,20,5,16,3,6,10,7,17,9,19,2
1a5fb3223,7,1,56.7893,4687.5,59.9307,11437.5,tp,18,8,0,11,12,4,21,16,22,5,1,23,20,9,10,6,19,17,2,3,14,7,13,15
1b77382c7,14,1,32.1493,3750.0,32.4213,6468.75,tp,23,12,11,16,20,18,22,7,15,17,10,2,19,5,6,9,0,8,13,3,4,21,1,14
1d949c49d,15,1,33.6427,93.75,36.9867,1125.0,tp,11,21,4,12,18,16,20,8,22,23,17,6,10,1,0,9,13,19,7,3,5,14,2,15
1e05620be,12,1,38.4587,562.5,41.5947,3281.25,tp,11,17,20,6,10,19,22,16,7,21,23,14,9,4,15,1,13,0,2,8,18,3,5,12
1fb41e1c4,18,1,13.872,3187.5,14.5653,5062.5,tp,11,7,10,20,17,19,16,6,15,14,22,23,2,1,5,9,21,13,3,8,0,12,4,18
1fb94ae60,2,1,48.2453,468.75,50.0213,3000.0,tp,21,11,13,16,20,4,17,23,22,15,9,1,7,6,8,18,19,10,14,12,0,3,2,5
1fbc39373,16,4,34.3947,3093.75,36.2293,4593.75,tp,6,14,2,0,9,18,4,10,5,23,21,11,20,8,22,12,15,13,17,7,19,1,3,16
21c9f1ba3,8,1,11.8347,3750.0,15.9573,5531.25,tp,7,11,20,10,17,16,15,19,6,23,22,2,5,14,9,1,12,3,13,0,21,8,18,4
21e2f2977,15,1,26.3307,93.75,29.6747,1125.0,tp,0,8,4,21,18,22,1,2,12,6,11,5,23,10,9,13,16,19,14,20,17,3,7,15
22050fe3f,19,1,56.623999999999995,281.25,58.176,2812.5,tp,21,13,12,18,8,4,2,15,0,1,22,14,23,3,9,7,16,17,11,20,5,6,10,19
22bfc5978,5,1,46.6187,4781.25,48.9707,10406.2,tp,21,13,12,16,18,15,4,8,1,0,9,7,23,2,17,22,3,11,19,14,20,6,10,5
2319eb4b4,18,1,25.631999999999998,3187.5,26.3253,5062.5,tp,10,7,11,20,6,19,17,16,22,23,15,14,2,5,9,1,0,3,13,12,21,8,4,18
24aac801a,1,1,46.4,3843.75,47.29600000000001,5625.0,tp,11,23,12,16,20,22,15,7,17,18,10,2,19,6,5,9,0,13,8,3,4,21,1,14
281865590,0,1,48.0587,5906.25,48.8533,8250.0,tp,11,16,17,15,20,22,13,21,19,7,6,2,10,23,14,9,4,1,5,12,3,8,18,0
288e5d13f,3,1,14.3893,1031.25,15.1307,2812.5,tp,11,23,18,12,20,22,7,2,15,17,10,5,9,6,0,19,8,16,3,13,4,21,14,1
29127020a,3,1,25.12,1031.25,25.8613,2812.5,tp,21,13,4,16,12,8,18,11,1,0,22,15,20,23,2,17,9,19,14,3,7,5,6,10
2a69408f6,5,1,41.376000000000005,4781.25,43.728,10406.2,tp,15,13,16,21,17,12,8,18,9,4,11,23,0,22,7,2,1,3,20,14,19,6,10,5
2bb539997,7,1,26.0907,4687.5,29.232,11437.5,tp,21,13,4,22,1,16,2,14,23,19,8,6,9,15,0,11,17,10,18,12,3,7,5,20
2bcddf9a5,5,1,16.4693,4781.25,18.8213,10406.2,tp,21,13,12,16,18,4,8,15,1,0,2,14,22,23,9,3,17,7,19,11,20,6,5,10
