recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
007f87ba2,12,1,39.135999999999996,562.5,42.272,3281.25,tp,20,11,17,6,19,16,7,22,15,23,2,10,14,9,1,5,0,3,12,13,21,4,18,8
0151b7d20,1,1,46.032,3843.75,46.928000000000004,5625.0,tp,18,20,7,11,15,2,23,8,17,12,6,22,10,9,19,21,4,14,0,5,16,3,13,1
02b9a8ab9,12,1,33.9093,562.5,37.0453,3281.25,tp,11,20,17,6,19,16,10,22,23,15,7,2,14,1,9,5,21,4,0,13,3,8,18,12
04975ecd8,19,1,54.38399999999999,281.25,55.93600000000001,2812.5,tp,0,9,12,1,2,22,6,4,21,18,13,8,14,15,23,17,20,11,3,5,16,10,7,19
053aeb7bd,23,4,0.9520000000000001,6459.96,8.8758,11627.9,tp,8,20,17,11,16,2,15,18,12,21,13,19,7,6,22,9,4,0,1,14,10,3,5,23
055088446,14,1,58.992,3750.0,59.263999999999996,6468.75,tp,11,20,6,17,19,10,22,12,23,5,15,0,16,7,2,9,8,18,3,1,4,21,13,14
055d22517,10,1,47.5835,947.461,50.0274,10852.7,tp,18,8,21,13,16,4,15,2,1,12,9,20,7,22,17,23,19,14,0,11,6,3,10,5
09a946316,23,1,50.4744,7235.16,56.558,11283.4,tp,8,20,17,16,12,18,2,13,21,11,1,0,19,14,15,6,22,3,7,9,4,5,10,23
0a9cdd8a5,7,1,22.2827,4687.5,25.424,11437.5,tp,18,21,8,13,0,4,2,1,12,9,22,19,16,6,17,20,14,23,15,11,3,5,7,10
0b2fa3f80,12,1,3.0133,562.5,6.1493,3281.25,tp,17,11,6,20,19,22,10,23,16,2,9,1,14,4,7,0,21,5,15,18,13,3,12,8
0d25045a9,1,1,47.2693,3843.75,48.1653,5625.0,tp,18,20,11,12,23,7,2,15,8,17,22,6,10,19,9,21,4,14,0,5,16,3,13,1
0fc62dd3c,18,1,9.6427,3187.5,10.335999999999999,5062.5,tp,11,20,17,16,19,22,7,10,6,15,23,14,2,21,5,4,1,13,8,3,9,18,12,0
100e4ddc9,2,1,1.2853,468.75,3.0613,3000.0,tp,7,11,13,6,20,10,17,21,4,23,15,19,9,0,16,8,12,1,18,22,14,5,3,2
119b154cc,15,1,3.7813,93.75,7.1253,1125.0,tp,18,0,21,2,8,22,12,4,1,13,6,19,23,10,16,20,5,14,11,9,3,7,17,15
147b41b13,7,1,35.4133,4687.5,38.5547,11437.5,tp,18,21,8,4,13,22,23,12,9,2,20,1,15,19,6,17,14,16,0,11,10,7,3,5
