data_type,f_max,f_min,recording_id,songtype_id,species_id,t_max,t_min,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
tp,10852.7,947.461,009b760e6,1.0,10,52.5293,50.0854,10,5,6,23,3,4,11,19,9,14,13,20,1,22,7,0,17,2,18,12,21,16,8,15,0,15
tp,5062.5,3187.5,011f25080,1.0,18,6.3787,5.6853,18,4,3,0,12,1,21,9,13,14,2,6,15,8,22,11,20,10,5,23,7,17,16,19,0,3
tp,4406.25,562.5,01b41f92b,1.0,6,46.38399999999999,44.24,6,4,14,5,10,21,13,1,9,23,20,15,2,11,12,22,3,8,16,17,19,18,0,7,0,22
tp,11437.5,4687.5,0209f7ab2,1.0,7,53.8987,50.7573,11,6,10,7,20,22,23,0,19,9,3,1,17,18,14,16,5,4,21,13,12,15,2,8,3,7
tp,3281.25,562.5,02b9a8ab9,1.0,12,37.0453,33.9093,12,3,18,0,23,22,2,5,16,6,15,4,1,9,8,10,21,11,7,17,20,19,13,14,0,3
tp,8250.0,5906.25,03d77fede,1.0,0,45.2053,44.4107,0,18,22,12,8,3,10,15,23,14,7,2,9,21,5,1,16,6,17,20,11,13,4,19,0,0
tp,11627.9,6459.96,053aeb7bd,4.0,23,17.7807,9.8569,5,23,3,12,7,22,10,15,4,18,8,0,11,14,21,9,20,2,6,16,13,1,17,19,1,11
tp,6468.75,3750.0,055088446,1.0,14,59.263999999999996,58.992,14,21,8,4,11,20,1,6,16,2,18,15,10,9,3,22,19,5,0,17,12,7,13,23,0,18
tp,10852.7,947.461,055d22517,1.0,10,50.0274,47.5835,10,3,5,12,23,22,6,11,20,19,2,18,7,15,9,1,14,0,17,16,13,8,21,4,0,17
tp,8250.0,5906.25,067f49f8b,1.0,0,54.0907,53.29600000000001,1,0,18,8,9,3,21,22,13,14,4,7,10,2,12,20,17,15,16,23,6,11,5,19,1,1
tp,3281.25,562.5,073e4d908,1.0,12,15.632,12.495999999999999,12,23,3,5,0,22,2,18,6,8,16,9,1,15,19,11,10,20,7,17,21,4,13,14,0,4
