recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
003bec244,14,1,44.544,2531.25,45.1307,5531.25,tp,21,8,22,4,0,13,18,12,19,1,2,17,15,9,16,20,5,3,14,10,23,11,6,7
009b760e6,10,1,50.0854,947.461,52.5293,10852.7,tp,2,1,4,12,16,13,15,18,21,0,8,22,17,9,14,20,3,11,23,7,6,19,5,10
00d442df7,0,1,19.3653,5906.25,20.16,8250.0,tp,17,20,19,15,14,7,10,16,11,22,13,2,21,23,5,9,6,4,3,1,12,8,18,0
015113cad,15,1,50.0533,93.75,53.3973,1125.0,tp,22,21,19,13,4,1,2,15,16,12,17,11,23,8,18,14,10,9,0,20,7,3,6,5
01b41f92b,6,1,44.24,562.5,46.38399999999999,4406.25,tp,16,2,21,4,1,22,13,8,23,19,11,0,12,18,10,17,14,7,20,15,9,3,5,6
03b96f209,16,4,49.632,3093.75,51.4667,4593.75,tp,12,0,21,8,4,18,9,22,23,17,11,20,5,15,10,6,14,2,13,7,3,1,19,16
04e70a8e3,7,1,23.5947,4687.5,26.736,11437.5,tp,21,22,0,8,4,18,12,2,13,1,5,19,9,23,6,16,10,3,14,17,20,15,7,11
05b9c974c,2,1,31.984,468.75,33.76,3000.0,tp,8,4,11,13,12,21,16,20,0,22,17,10,14,18,1,9,3,15,7,23,19,6,5,2
068f1b8e2,12,1,22.864,562.5,26.0,3281.25,tp,17,11,20,10,19,6,7,14,16,15,9,23,22,2,21,5,13,0,1,3,8,4,18,12
0968aea09,12,1,5.7707,562.5,8.9067,3281.25,tp,17,11,20,10,19,6,16,14,7,15,22,9,2,21,23,13,0,8,5,1,4,3,18,12
0ab6aa734,9,1,49.4773,843.75,53.04,5718.75,tp,22,19,15,16,11,2,7,10,21,17,6,8,23,20,5,0,13,1,4,14,18,12,3,9
0c448e77c,17,4,36.2638,1464.26,40.0428,4565.04,tp,21,13,22,1,8,0,15,19,4,16,2,12,18,14,3,17,23,7,6,5,9,20,10,11
0e034f968,2,1,1.8933,468.75,3.6693,3000.0,tp,11,4,20,10,8,23,17,13,22,9,7,3,12,16,21,15,14,0,18,6,5,19,1,2
0e2e4ac19,2,1,44.56,468.75,46.336000000000006,3000.0,tp,0,12,4,8,10,3,13,14,18,16,11,23,7,9,21,1,5,6,20,19,22,17,15,2
0ea8ea68a,0,1,3.8027,5906.25,4.5973,8250.0,tp,17,19,15,22,20,11,16,9,13,2,7,21,10,23,6,4,14,1,12,3,8,5,18,0
0f99800b7,11,1,27.416999999999998,1808.79,28.5547,5684.77,tp,21,0,22,4,2,19,18,17,8,13,6,9,1,10,12,16,20,11,5,14,23,3,7,15
10dae79ed,18,1,30.191999999999997,3187.5,30.8853,5062.5,tp,17,11,10,20,19,6,16,7,22,14,15,23,9,2,21,5,13,1,8,3,0,4,18,12
11a52d37a,18,1,46.0693,3187.5,46.7627,5062.5,tp,17,20,11,10,19,22,16,7,15,6,14,23,9,2,5,21,13,3,1,4,8,18,0,12
12ec1d4cb,9,1,24.112,1125.0,26.9173,5250.0,tp,21,22,19,15,16,8,13,0,1,2,7,4,14,10,5,18,12,11,3,6,23,20,17,9
1414bbe17,14,1,14.6453,3750.0,14.9173,6468.75,tp,17,15,19,20,11,9,22,10,12,23,16,5,7,0,2,8,6,18,4,3,13,1,21,14
14948ff80,13,1,44.5013,93.75,45.1253,843.75,tp,17,5,11,23,19,20,9,22,10,2,6,15,12,7,0,18,8,3,4,14,16,21,13,1
1520a52ef,13,1,6.496,93.75,7.12,843.75,tp,17,11,10,19,20,22,6,2,9,23,5,7,14,16,15,21,4,3,12,8,0,1,18,13
1545e29b3,19,1,0.1387,281.25,1.6907,2812.5,tp,4,22,13,15,0,16,8,21,1,2,10,23,18,12,17,6,14,11,7,9,5,3,20,19
158c5acb6,16,4,18.8427,3093.75,20.6773,4593.75,tp,17,5,9,22,18,6,12,23,0,2,19,11,20,8,15,10,4,21,14,7,3,13,1,16
163e86660,3,1,58.06399999999999,1031.25,58.8053,2812.5,tp,22,15,19,16,11,17,2,21,0,1,13,8,10,20,7,4,23,9,12,14,18,3,5,6
1856bb5c2,22,1,36.4533,10687.5,38.0587,13687.5,tp,18,4,13,0,1,2,8,21,12,16,19,5,15,14,3,17,10,7,6,9,20,22,11,23
18c47b7f2,8,1,32.544000000000004,3750.0,36.6667,5531.25,tp,17,20,9,7,22,11,15,2,16,5,14,6,19,23,10,12,3,1,18,0,4,13,8,21
18df43462,5,1,46.8373,4781.25,49.1893,10406.2,tp,21,22,19,13,8,1,2,0,12,4,16,23,18,15,10,11,7,5,3,14,6,9,17,20
195e5ba43,19,1,25.184,281.25,26.736,2812.5,tp,12,13,4,8,2,1,0,18,22,21,16,5,3,14,15,9,23,6,10,17,7,20,11,19
1aa00dc63,23,4,41.2328,6459.96,49.1566,11627.9,tp,17,19,6,20,22,2,11,21,10,9,16,14,0,4,15,8,18,13,7,1,5,12,3,23
1ba9ee79a,1,1,5.9467,3843.75,6.8427,5625.0,tp,17,19,20,22,11,5,15,9,10,23,2,6,12,0,18,7,8,4,3,14,21,16,13,1
1bc8c196e,22,1,4.5973,10687.5,6.2027,13687.5,tp,23,11,9,10,4,17,20,19,21,7,6,16,15,14,13,8,5,12,3,18,2,0,1,22
1c46aa776,6,1,30.7307,562.5,32.8747,4406.25,tp,21,2,4,13,8,22,18,12,1,19,0,15,17,16,9,14,5,3,10,11,20,7,23,6
1d76cb226,21,1,49.711999999999996,3281.25,50.8053,4125.0,tp,17,20,9,22,11,7,2,5,15,19,6,16,23,14,10,12,3,18,0,1,4,13,21,8
1eb2a9113,7,1,28.4693,4687.5,31.6107,11437.5,tp,4,21,2,17,0,19,9,1,16,18,22,6,13,8,14,12,10,20,3,23,11,5,7,15
1f5dd26db,8,1,6.0907,3750.0,10.2133,5531.25,tp,17,7,20,22,9,5,11,15,2,16,6,14,19,23,10,0,12,1,3,18,13,4,8,21
20801bb7d,4,1,1.9093,2343.75,3.7653,4218.75,tp,17,10,11,20,16,19,15,22,7,6,23,14,9,2,5,1,21,13,3,8,0,12,4,18
2105bda77,11,1,49.0812,1808.79,50.218999999999994,5684.77,tp,21,13,4,1,8,18,0,2,12,19,16,5,3,15,14,22,23,9,17,6,10,7,20,11
23adb9473,20,1,51.504,2343.75,54.943999999999996,5718.75,tp,21,13,22,2,4,0,18,12,8,1,19,16,15,9,6,3,14,17,23,5,10,7,11,20
251569711,4,1,18.2133,2343.75,20.0693,4218.75,tp,17,22,11,20,10,19,7,16,15,2,23,6,9,5,14,1,3,0,12,13,21,8,18,4
2695a2878,23,1,45.3486,7235.16,51.4322,11283.4,tp,2,17,4,19,13,21,16,18,14,1,0,8,9,12,15,22,6,11,20,7,3,10,5,23
2717a930e,8,1,14.175999999999998,3750.0,18.2987,5531.25,tp,17,20,7,9,22,11,15,2,16,6,5,14,10,23,19,0,12,1,3,18,4,13,8,21
28fd95f7f,11,1,24.8802,1808.79,26.018,5684.77,tp,21,13,4,0,19,8,18,1,2,12,22,5,9,16,3,14,6,15,23,17,10,20,7,11
2a3c1f921,0,1,46.8587,5906.25,47.6533,8250.0,tp,17,19,20,11,10,15,22,16,9,23,13,7,21,2,6,8,5,4,1,3,12,14,18,0
2a7ed55d4,5,1,7.3013,4781.25,9.6533,10406.2,tp,21,4,22,13,12,2,18,19,6,9,1,11,8,0,17,14,16,20,10,23,3,15,7,5
2b9c8d234,8,1,37.5413,3750.0,41.663999999999994,5531.25,tp,17,20,7,9,22,11,15,2,5,16,6,14,10,23,19,12,0,1,3,18,4,13,8,21
2bcddf9a5,3,1,20.976,1031.25,21.7173,2812.5,tp,22,13,21,1,4,12,15,16,19,17,18,8,2,0,6,9,14,3,20,23,10,11,7,5
2c97a8020,17,1,44.9547,1312.5,51.408,3937.5,tp,21,8,22,0,4,13,12,18,2,6,19,1,23,10,9,5,11,14,15,20,16,3,7,17
2ce34e1b6,16,4,55.29600000000001,3093.75,57.1307,4593.75,tp,17,5,23,9,22,15,12,18,20,11,0,6,4,10,8,2,19,21,14,7,3,13,1,16
2cf89ef6b,1,1,24.0,3843.75,24.896,5625.0,tp,17,11,20,19,22,10,2,6,15,9,23,5,0,18,7,12,4,8,14,21,16,3,13,1
2d09eb065,19,1,45.5627,281.25,47.1147,2812.5,tp,12,13,4,8,21,0,1,18,22,5,2,10,16,6,23,9,14,3,7,20,11,17,15,19
2d50db2b1,11,1,0.8707,1808.79,2.0085,5684.77,tp,21,13,19,22,16,15,4,2,1,12,8,18,9,14,23,17,0,20,3,7,6,5,10,11
2e7bc0749,22,1,23.9093,10687.5,25.5147,13687.5,tp,4,18,0,9,13,14,19,8,16,6,1,21,17,2,12,15,3,20,23,5,7,10,11,22
2eb098e76,3,1,28.5547,1031.25,29.296,2812.5,tp,4,11,10,8,13,9,17,14,18,12,0,16,21,23,6,20,19,1,5,3,7,22,15,2
