recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
007f87ba2,12,1,39.135999999999996,562.5,42.272,3281.25,tp,20,11,17,19,10,7,16,15,22,6,23,2,5,9,14,13,0,1,21,8,3,4,12,18
0151b7d20,1,1,46.032,3843.75,46.928000000000004,5625.0,tp,17,7,15,23,22,11,5,20,6,0,18,19,10,8,12,2,9,14,21,4,13,16,3,1
02b9a8ab9,12,1,33.9093,562.5,37.0453,3281.25,tp,20,11,17,19,10,15,7,16,22,6,2,23,5,14,0,13,9,21,1,8,4,3,18,12
04975ecd8,19,1,54.38399999999999,281.25,55.93600000000001,2812.5,tp,0,12,20,2,13,9,6,18,22,4,21,11,15,10,8,1,14,16,17,23,5,3,7,19
053aeb7bd,23,4,0.9520000000000001,6459.96,8.8758,11627.9,tp,15,0,17,6,20,2,11,19,22,16,10,13,5,21,8,12,9,18,4,7,1,14,3,23
055088446,14,1,58.992,3750.0,59.263999999999996,6468.75,tp,20,16,12,19,22,17,11,2,8,6,15,5,10,0,23,9,13,7,3,18,1,4,21,14
055d22517,10,1,47.5835,947.461,50.0274,10852.7,tp,18,21,4,13,15,8,0,17,20,2,12,22,19,9,6,11,1,10,14,16,7,23,3,5
09a946316,23,1,50.4744,7235.16,56.558,11283.4,tp,17,0,6,1,11,2,12,20,15,14,21,16,13,10,18,8,9,19,3,22,4,7,5,23
0a9cdd8a5,7,1,22.2827,4687.5,25.424,11437.5,tp,4,8,18,21,0,13,12,2,5,19,1,6,9,20,17,22,16,15,14,11,10,3,23,7
0b2fa3f80,12,1,3.0133,562.5,6.1493,3281.25,tp,20,11,17,10,19,6,16,22,23,2,9,14,4,7,21,0,5,1,13,18,3,8,15,12
0d25045a9,1,1,47.2693,3843.75,48.1653,5625.0,tp,20,17,15,11,0,18,22,23,10,12,7,6,4,2,9,19,8,14,21,13,5,16,3,1
0fc62dd3c,18,1,9.6427,3187.5,10.335999999999999,5062.5,tp,20,16,19,11,22,10,17,6,7,23,2,5,15,13,4,21,8,9,14,1,3,12,18,0
100e4ddc9,2,1,1.2853,468.75,3.0613,3000.0,tp,11,7,10,20,0,12,18,21,23,15,17,13,8,4,6,9,14,19,22,5,16,1,3,2
119b154cc,15,1,3.7813,93.75,7.1253,1125.0,tp,8,4,18,21,0,2,12,19,13,5,20,6,22,16,1,9,10,23,11,17,14,3,15,7
147b41b13,7,1,35.4133,4687.5,38.5547,11437.5,tp,8,4,18,21,13,12,2,22,19,0,5,6,20,9,15,23,17,10,11,1,16,14,3,7
14f6cbe5c,3,1,53.6,1031.25,54.3413,2812.5,tp,4,8,18,21,0,2,12,13,5,6,9,19,1,22,17,20,10,14,23,11,15,3,16,7
1535d0c9b,9,1,4.6507,843.75,8.2133,5718.75,tp,8,4,21,18,19,2,12,0,13,5,1,22,10,23,7,16,14,11,3,6,17,9,20,15
16553d5cd,23,4,28.7405,6459.96,36.6643,11627.9,tp,15,6,0,17,11,2,20,19,10,13,16,22,21,5,8,14,9,7,4,18,1,12,3,23
178b835e3,16,4,21.2267,3093.75,23.0613,4593.75,tp,8,4,18,21,0,13,5,12,2,1,22,19,23,6,16,9,10,14,15,3,17,7,11,20
178b835e3,16,4,4.256,3093.75,6.0907,4593.75,tp,8,4,18,21,0,13,5,12,2,1,22,19,23,6,16,9,10,14,15,3,17,7,11,20
1aa00dc63,12,1,19.7867,562.5,22.9227,3281.25,tp,6,20,17,0,11,15,2,19,22,21,10,16,8,5,13,14,4,7,18,1,9,12,3,23
1aef4f8ff,14,1,47.152,2531.25,47.7387,5531.25,tp,20,19,16,22,17,11,15,10,6,5,2,12,23,8,7,0,13,9,3,1,4,18,21,14
1bd29a4bb,10,1,42.7886,947.461,45.2325,10852.7,tp,8,4,18,13,21,0,2,16,12,1,22,5,15,19,23,3,9,14,17,7,20,6,10,11
1e469c124,15,1,28.1493,93.75,31.4933,1125.0,tp,8,4,21,18,12,20,0,16,23,10,11,9,6,13,22,1,5,19,17,14,7,3,15,2
1f2260885,11,1,7.0531,1808.79,8.1908,5684.77,tp,8,4,18,13,21,0,2,1,12,5,16,19,22,15,3,9,14,23,17,10,20,7,6,11
2026bced7,12,1,49.8987,562.5,53.0347,3281.25,tp,20,11,17,19,10,15,7,22,6,16,2,5,23,0,9,14,13,1,8,21,3,4,12,18
20be88a43,6,1,12.9653,562.5,14.9867,3187.5,tp,8,13,15,16,22,4,1,5,0,2,18,21,19,23,12,14,3,9,7,17,10,20,11,6
22da462f9,1,1,8.816,3843.75,9.712,5625.0,tp,20,22,17,19,23,15,10,11,16,5,2,7,6,0,12,9,8,3,13,1,18,14,21,4
