recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
006ab765f,23,1,39.9615,7235.16,46.0452,11283.4,tp,18,20,21,12,2,22,8,13,15,17,11,9,4,1,0,6,19,10,7,16,14,3,5,23
0201197ec,10,1,43.3575,947.461,45.8014,10852.7,tp,21,18,4,13,15,8,12,2,0,19,20,22,9,17,23,1,7,5,14,6,3,16,11,10
0268057eb,0,1,25.4987,5906.25,26.2933,8250.0,tp,11,10,20,15,7,22,17,19,4,6,13,2,23,9,5,14,21,16,8,12,18,3,1,0
0297d886e,13,1,57.808,93.75,58.431999999999995,843.75,tp,21,0,4,18,8,2,5,6,3,12,23,14,17,9,11,22,10,20,19,7,16,15,1,13
03b96f209,16,4,30.9333,3093.75,32.768,4593.75,tp,10,22,18,6,9,0,4,21,11,23,14,20,5,12,15,8,2,7,17,13,1,3,19,16
03d77fede,0,1,44.4107,5906.25,45.2053,8250.0,tp,11,10,20,15,7,22,19,13,4,17,6,16,2,23,5,21,14,9,8,1,3,12,18,0
043356ff8,18,1,0.1227,3187.5,0.816,5062.5,tp,11,10,20,6,16,17,2,7,22,19,14,9,5,23,15,21,1,3,8,12,4,0,13,18
04d6b1fc1,17,4,4.7307,1406.25,7.3387,3937.5,tp,4,22,8,21,13,0,18,5,12,23,15,2,16,19,7,1,20,10,14,9,11,3,6,17
05f8c0f2f,4,1,26.5867,2343.75,28.4427,4218.75,tp,11,7,15,10,20,22,17,6,19,2,5,16,14,23,9,13,1,3,8,0,21,12,18,4
06c44d203,3,1,1.28,1031.25,2.0213,2812.5,tp,18,2,12,21,4,13,0,8,1,19,9,15,14,20,5,17,3,16,23,11,10,7,6,22
078788674,15,1,41.36,93.75,44.70399999999999,1125.0,tp,11,10,4,21,19,20,6,0,16,23,22,5,8,9,17,18,7,2,1,14,13,3,12,15
07d1687e0,8,1,0.064,3750.0,4.1867,5531.25,tp,11,10,20,17,7,19,15,22,6,16,9,2,13,23,4,14,5,12,3,1,21,18,8,0
07dcf40f7,10,1,27.237,947.461,29.6809,10852.7,tp,21,4,13,18,15,8,20,0,19,17,2,22,1,9,7,12,5,16,6,14,11,3,23,10
08db743d0,16,4,38.3787,3093.75,40.2133,4593.75,tp,10,11,23,20,22,18,6,5,4,9,19,21,0,15,12,8,14,7,13,2,17,3,1,16
090ae427d,7,1,26.1387,4687.5,29.28,11437.5,tp,4,20,11,13,22,17,15,10,9,21,19,6,7,23,16,18,12,8,14,1,0,5,2,3
09315d9bf,22,1,49.696000000000005,10687.5,51.3013,13687.5,tp,12,18,21,2,8,20,7,13,17,4,9,15,11,19,14,0,23,1,10,5,16,3,6,22
0b3ef9c4e,6,1,44.3733,562.5,46.5173,4406.25,tp,12,13,8,15,5,21,22,19,4,1,2,18,16,3,14,23,0,7,17,9,20,10,11,6
0c2124550,21,1,18.2293,3281.25,19.3227,4125.0,tp,11,17,20,9,19,10,15,23,6,7,22,5,2,0,16,12,1,13,3,14,18,4,8,21
0c48ed342,17,1,50.032,1312.5,56.4853,3937.5,tp,0,8,5,2,4,21,1,12,18,13,22,14,16,15,19,3,23,9,10,6,7,20,11,17
