recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,data_type,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
00b404881,8,1,0.0747,3750.0,4.1973,5531.25,tp,20,0,11,7,9,6,17,15,16,23,5,10,2,19,1,22,3,13,14,12,18,4,8,21
011f25080,18,1,5.6853,3187.5,6.3787,5062.5,tp,20,10,11,7,2,6,17,5,15,22,19,9,16,23,1,0,14,12,3,13,8,18,21,4
0295e3234,11,1,5.1606,1808.79,6.2984,5684.77,tp,4,21,18,8,0,12,2,1,19,5,13,22,9,14,16,10,3,17,20,6,7,11,23,15
0313e82cf,16,4,21.471999999999998,3093.75,23.3067,4593.75,tp,8,20,4,6,21,5,9,10,14,18,22,23,19,2,11,15,17,12,13,0,7,3,1,16
0509303a5,6,1,23.7013,562.5,25.8453,4406.25,tp,12,21,2,0,8,4,1,9,18,19,14,22,16,13,23,15,3,5,17,20,7,10,11,6
07f1227b0,1,1,32.9387,3843.75,33.8347,5625.0,tp,5,0,12,13,4,16,22,2,10,1,19,8,15,6,18,20,17,23,11,3,21,9,7,14
133001416,3,1,14.88,1031.25,15.6213,2812.5,tp,21,4,8,13,18,2,14,15,16,12,1,22,19,0,20,10,7,9,23,6,11,17,3,5
1383208d3,10,1,50.4744,947.461,52.9183,10852.7,tp,18,0,1,13,12,14,21,2,15,19,6,9,17,16,7,4,8,20,11,22,3,5,10,23
141675c80,1,1,54.6933,3843.75,55.5893,5625.0,tp,20,11,17,10,6,0,15,19,2,12,22,18,7,16,9,5,8,13,23,4,1,21,3,14
156b77dfe,1,1,37.36,3843.75,38.256,5625.0,tp,20,11,10,4,6,17,21,8,22,15,19,23,7,14,18,16,2,9,5,13,0,12,3,1
15d9e6d8b,18,1,36.6453,3187.5,37.3387,5062.5,tp,20,2,10,7,11,6,17,22,15,5,19,16,14,9,23,1,12,8,0,3,13,21,18,4
160add406,23,4,18.6805,6459.96,26.6043,11627.9,tp,2,8,13,21,16,18,1,15,0,12,14,22,20,4,19,10,9,17,7,11,6,3,5,23
160b70831,2,1,1.9413,468.75,3.7173,3000.0,tp,11,20,10,8,13,6,17,15,21,4,14,16,22,19,23,7,18,0,1,5,9,3,12,2
16fc37168,1,1,29.36,3843.75,30.256,5625.0,tp,20,6,21,11,19,17,15,10,7,16,22,4,23,8,13,2,14,9,5,1,18,3,0,12
16ffcf223,14,1,16.9973,2812.5,17.92,4406.25,tp,5,16,10,0,12,22,13,2,6,4,19,15,1,8,20,11,17,23,18,9,7,3,21,14
1702d35a0,22,1,28.2453,10687.5,29.8507,13687.5,tp,18,8,14,4,0,21,13,2,16,12,19,1,9,17,20,7,15,6,11,3,10,5,23,22
17ca62c97,4,1,32.9173,2343.75,34.7733,4218.75,tp,20,7,10,11,17,6,15,2,22,19,16,5,23,14,1,9,0,8,3,13,21,18,12,4
184322f0e,22,1,54.8,10687.5,56.4053,13687.5,tp,18,17,4,19,2,20,6,21,12,9,7,11,14,8,15,5,0,16,10,23,13,3,22,1
18e249f36,7,1,28.8747,4687.5,32.016,11437.5,tp,21,4,8,13,22,18,20,2,15,16,6,19,10,17,9,11,0,14,12,1,23,5,7,3
1a3993962,16,4,48.144,3093.75,49.9787,4593.75,tp,18,9,5,12,8,4,14,23,22,15,21,13,6,20,0,2,10,19,11,17,7,3,1,16
1ef3e2282,16,4,24.4587,3093.75,26.2933,4593.75,tp,4,21,8,18,13,9,12,22,0,5,6,2,23,19,10,15,14,20,17,11,1,3,7,16
1f0fe1c7e,22,1,30.3733,10687.5,31.9787,13687.5,tp,18,8,4,14,21,0,12,13,1,2,16,19,20,10,15,7,11,9,3,23,17,5,6,22
1fd650183,4,1,35.135999999999996,2343.75,36.992,4218.75,tp,20,2,7,10,11,6,22,5,17,15,19,14,23,9,16,12,1,8,3,0,13,21,18,4
1ffa43aae,13,1,29.7067,93.75,30.3307,843.75,tp,10,20,7,19,17,2,11,6,14,16,22,5,9,1,23,21,8,15,3,0,12,4,18,13
