0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9,data_type,f_max,f_min,recording_id,songtype_id,species_id,t_max,t_min,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
,,,,,,,,,,,,,,,,,,,,,,,,tp,5531.25,2531.25,003bec244,1.0,14.0,45.1307,44.544,7,11,20,23,10,3,14,1,5,16,17,19,12,22,2,15,0,9,6,21,8,18,13,4,6,16
,,,,,,,,,,,,,,,,,,,,,,,,tp,10852.7,947.461,009b760e6,1.0,10.0,52.5293,50.0854,10,23,3,5,13,11,9,7,20,6,19,21,17,4,12,1,0,16,22,18,14,15,8,2,0,16
,,,,,,,,,,,,,,,,,,,,,,,,tp,8250.0,5906.25,00d442df7,1.0,0.0,20.16,19.3653,0,18,8,12,3,10,7,17,2,4,5,11,16,20,19,6,21,14,1,9,13,15,22,23,0,0
,,,,,,,,,,,,,,,,,,,,,,,,tp,1125.0,93.75,015113cad,1.0,15.0,53.3973,50.0533,3,17,15,6,20,12,16,23,10,14,19,7,5,8,21,0,11,4,13,9,1,2,18,22,2,15
,,,,,,,,,,,,,,,,,,,,,,,,tp,4406.25,562.5,01b41f92b,1.0,6.0,46.38399999999999,44.24,6,3,15,23,12,10,9,11,17,22,5,13,20,4,21,14,19,8,2,0,16,7,1,18,0,19
,,,,,,,,,,,,,,,,,,,,,,,,tp,4593.75,3093.75,03b96f209,4.0,16.0,51.4667,49.632,16,19,3,23,7,12,1,20,10,17,21,11,15,5,9,22,6,13,8,14,2,18,0,4,0,22
,,,,,,,,,,,,,,,,,,,,,,,,tp,11437.5,4687.5,04e70a8e3,1.0,7.0,26.736,23.5947,11,20,10,7,17,3,23,15,16,19,5,12,6,9,2,14,0,4,22,1,13,18,8,21,3,16
,,,,,,,,,,,,,,,,,,,,,,,,tp,3000.0,468.75,05b9c974c,1.0,2.0,33.76,31.984,2,23,3,9,5,18,19,11,12,20,10,17,7,6,13,22,1,16,0,14,21,8,4,15,0,18
,,,,,,,,,,,,,,,,,,,,,,,,tp,3281.25,562.5,068f1b8e2,1.0,12.0,26.0,22.864,12,18,5,3,13,2,10,6,11,0,19,7,20,23,9,22,15,16,1,14,17,4,21,8,0,9
,,,,,,,,,,,,,,,,,,,,,,,,tp,3281.25,562.5,0968aea09,1.0,12.0,8.9067,5.7707,12,3,5,18,7,2,10,11,6,0,19,13,20,15,16,9,14,22,1,23,17,21,4,8,0,9
,,,,,,,,,,,,,,,,,,,,,,,,tp,5718.75,843.75,0ab6aa734,1.0,9.0,53.04,49.4773,9,3,1,17,12,7,21,18,14,16,0,19,13,23,2,5,11,10,6,4,15,8,22,20,0,10
