0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9,data_type,f_max,f_min,recording_id,songtype_id,species_id,t_max,t_min,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
,,,,,,,,,,,,,,,,,,,,,,,,tp,4565.04,1464.26,0099c367b,4.0,17.0,55.1996,51.4206,17,6,11,3,23,10,20,7,12,18,9,1,5,19,15,8,4,0,22,13,14,16,21,2,0,17
,,,,,,,,,,,,,,,,,,,,,,,,tp,11437.5,4687.5,0209f7ab2,1.0,7.0,53.8987,50.7573,11,7,10,23,6,4,19,20,5,22,8,21,17,16,3,1,0,14,13,9,15,18,12,2,1,16
,,,,,,,,,,,,,,,,,,,,,,,,tp,5684.77,1808.79,0275e127d,1.0,11.0,13.1367,11.9989,11,7,17,10,3,23,16,20,8,6,1,19,15,4,21,0,13,9,5,22,12,14,18,2,0,15
,,,,,,,,,,,,,,,,,,,,,,,,tp,2812.5,1031.25,050d0ca85,1.0,3.0,50.6613,49.92,15,23,3,1,7,0,10,5,13,6,22,12,18,4,11,14,19,9,21,8,2,20,16,17,2,5
,,,,,,,,,,,,,,,,,,,,,,,,tp,11627.9,6459.96,053aeb7bd,4.0,23.0,17.7807,9.8569,23,12,3,5,0,4,18,19,10,2,21,11,8,9,7,15,6,20,1,16,13,22,17,14,0,4
,,,,,,,,,,,,,,,,,,,,,,,,tp,5684.77,1808.79,057802c25,1.0,11.0,5.358,4.2202,23,10,11,16,3,6,5,4,7,12,1,19,0,18,21,13,8,20,17,9,22,15,2,14,2,12
,,,,,,,,,,,,,,,,,,,,,,,,tp,8250.0,5906.25,067f49f8b,1.0,0.0,54.0907,53.29600000000001,0,18,1,4,12,3,8,23,15,21,14,13,6,10,9,19,5,11,7,2,22,20,17,16,0,0
,,,,,,,,,,,,,,,,,,,,,,,,tp,8250.0,5906.25,06a0c48c9,1.0,0.0,58.016000000000005,57.2213,0,18,3,12,4,5,7,2,23,10,11,8,19,6,20,15,22,13,17,9,1,21,16,14,0,0
,,,,,,,,,,,,,,,,,,,,,,,,tp,3281.25,562.5,073e4d908,1.0,12.0,15.632,12.495999999999999,12,23,3,2,0,17,4,8,5,11,18,19,15,13,20,6,10,1,7,16,21,9,14,22,0,4
,,,,,,,,,,,,,,,,,,,,,,,,tp,2812.5,281.25,0a350d11c,1.0,19.0,13.0773,11.5253,19,23,3,11,16,1,17,15,14,10,12,5,7,18,8,13,0,2,21,4,6,20,9,22,0,16
,,,,,,,,,,,,,,,,,,,,,,,,tp,1125.0,93.75,0e29d05ed,1.0,15.0,35.28,31.936,15,7,3,16,23,11,10,22,20,5,1,0,14,13,18,19,17,8,4,21,6,9,12,2,0,11
,,,,,,,,,,,,,,,,,,,,,,,,tp,2812.5,1031.25,0eb2079ea,1.0,3.0,6.3307,5.5893,23,3,7,5,10,11,12,20,8,14,15,19,16,0,18,1,2,6,17,21,4,9,22,13,1,13
,,,,,,,,,,,,,,,,,,,,,,,,tp,843.75,93.75,0f8cadb4a,1.0,13.0,35.1147,34.4907,10,1,13,19,14,16,3,15,11,6,21,4,0,18,7,8,12,23,17,22,9,5,20,2,2,12
,,,,,,,,,,,,,,,,,,,,,,,,tp,5531.25,3750.0,12a12f0fa,1.0,8.0,35.6267,31.504,8,18,4,12,21,3,0,6,1,5,16,23,14,17,13,15,10,19,9,20,7,11,2,22,0,6
,,,,,,,,,,,,,,,,,,,,,,,,tp,4125.0,3281.25,1375a05d1,1.0,21.0,29.2427,28.1493,14,21,4,18,1,13,7,3,10,15,8,6,19,11,0,5,12,22,2,23,9,17,16,20,1,14
,,,,,,,,,,,,,,,,,,,,,,,,tp,5625.0,3843.75,13c678c1d,1.0,1.0,1.76,0.8640000000000001,1,4,21,14,3,18,13,6,10,12,15,0,8,11,19,7,22,5,16,9,23,17,2,20,0,11
,,,,,,,,,,,,,,,,,,,,,,,,tp,5684.77,1808.79,13de5cabb,1.0,11.0,58.4737,57.3359,11,19,7,3,6,23,10,17,1,4,20,5,16,18,9,12,8,22,21,14,15,13,0,2,0,22
,,,,,,,,,,,,,,,,,,,,,,,,tp,5531.25,3750.0,14d467153,1.0,8.0,4.496,0.3733,8,0,18,3,21,5,1,12,14,10,16,15,7,4,23,19,6,2,9,11,13,17,20,22,0,1
,,,,,,,,,,,,,,,,,,,,,,,,tp,8250.0,5906.25,157a50231,1.0,0.0,36.5813,35.7867,0,18,8,10,1,14,5,3,9,4,6,17,21,12,11,13,19,15,20,7,23,2,22,16,0,0
,,,,,,,,,,,,,,,,,,,,,,,,tp,11627.9,6459.96,160add406,4.0,23.0,10.9772,3.0534,23,3,10,5,7,12,16,20,4,11,19,0,6,15,18,9,21,8,2,1,17,14,13,22,0,11
