0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9,data_type,f_max,f_min,recording_id,songtype_id,species_id,t_max,t_min,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
,,,,,,,,,,,,,,,,,,,,,,,,tp,11283.4,7235.16,006ab765f,1.0,23.0,46.0452,39.9615,23,5,10,3,6,14,7,11,17,1,15,16,12,9,2,19,4,13,18,8,20,22,0,21,0,22
,,,,,,,,,,,,,,,,,,,,,,,,tp,10852.7,947.461,0201197ec,1.0,10.0,45.8014,43.3575,5,10,16,7,3,23,17,9,11,20,14,12,15,1,22,19,6,18,2,8,13,0,4,21,1,21
,,,,,,,,,,,,,,,,,,,,,,,,tp,8250.0,5906.25,0268057eb,1.0,0.0,26.2933,25.4987,0,1,18,12,3,8,14,21,23,2,9,13,15,20,19,5,11,6,7,17,10,16,4,22,0,0
,,,,,,,,,,,,,,,,,,,,,,,,tp,843.75,93.75,0297d886e,1.0,13.0,58.431999999999995,57.808,13,1,2,21,8,4,14,3,16,12,15,11,19,6,18,10,7,9,20,23,5,22,17,0,0,23
,,,,,,,,,,,,,,,,,,,,,,,,tp,4593.75,3093.75,03b96f209,4.0,16.0,32.768,30.9333,16,23,19,1,3,9,17,13,5,7,8,6,20,10,15,12,11,21,0,4,14,18,2,22,0,18
,,,,,,,,,,,,,,,,,,,,,,,,tp,8250.0,5906.25,03d77fede,1.0,0.0,45.2053,44.4107,0,18,3,5,12,14,1,2,8,9,15,11,23,6,7,20,13,10,16,17,21,22,19,4,0,0
,,,,,,,,,,,,,,,,,,,,,,,,tp,5062.5,3187.5,043356ff8,1.0,18.0,0.816,0.1227,18,0,21,12,3,4,8,5,2,1,14,13,23,6,15,11,9,20,7,16,10,17,19,22,0,1
,,,,,,,,,,,,,,,,,,,,,,,,tp,3937.5,1406.25,04d6b1fc1,4.0,17.0,7.3387,4.7307,17,14,6,15,1,7,3,9,11,10,20,0,13,18,23,4,16,2,8,5,19,12,21,22,0,11
,,,,,,,,,,,,,,,,,,,,,,,,tp,4218.75,2343.75,05f8c0f2f,1.0,4.0,28.4427,26.5867,18,21,4,3,8,12,1,2,13,14,0,5,6,15,23,20,7,16,19,11,9,10,17,22,2,10
,,,,,,,,,,,,,,,,,,,,,,,,tp,2812.5,1031.25,06c44d203,1.0,3.0,2.0213,1.28,22,6,7,23,3,20,10,17,15,11,16,14,5,1,12,2,9,19,13,4,21,18,0,8,4,22
,,,,,,,,,,,,,,,,,,,,,,,,tp,1125.0,93.75,078788674,1.0,15.0,44.70399999999999,41.36,3,15,1,14,12,18,5,13,23,2,7,21,0,11,19,4,16,8,6,20,9,17,10,22,1,12
,,,,,,,,,,,,,,,,,,,,,,,,tp,5531.25,3750.0,07d1687e0,1.0,8.0,4.1867,0.064,0,8,18,21,3,2,1,12,9,14,17,4,5,20,6,11,7,23,10,15,19,22,16,13,1,0
,,,,,,,,,,,,,,,,,,,,,,,,tp,10852.7,947.461,07dcf40f7,1.0,10.0,29.6809,27.237,10,23,11,3,5,14,7,6,15,1,19,20,9,17,12,13,4,0,2,18,22,8,21,16,0,17
,,,,,,,,,,,,,,,,,,,,,,,,tp,4593.75,3093.75,08db743d0,4.0,16.0,40.2133,38.3787,1,16,3,14,21,10,8,19,15,7,13,6,9,11,0,12,5,18,20,2,23,4,17,22,1,14
,,,,,,,,,,,,,,,,,,,,,,,,tp,11437.5,4687.5,090ae427d,1.0,7.0,29.28,26.1387,5,0,18,14,2,3,7,1,12,10,15,16,23,19,6,11,13,9,20,8,17,4,22,21,6,1
