0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9,data_type,f_max,f_min,recording_id,songtype_id,species_id,t_max,t_min,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
,,,,,,,,,,,,,,,,,,,,,,,,tp,3281.25,562.5,007f87ba2,1.0,12.0,42.272,39.135999999999996,4,12,3,1,18,21,2,14,13,9,7,5,23,16,20,17,15,22,8,11,19,10,6,0,1,23
,,,,,,,,,,,,,,,,,,,,,,,,tp,5625.0,3843.75,0151b7d20,1.0,1.0,46.928000000000004,46.032,1,5,16,3,7,14,10,20,6,0,2,15,22,12,13,23,17,11,9,19,18,8,4,21,0,9
,,,,,,,,,,,,,,,,,,,,,,,,tp,3281.25,562.5,02b9a8ab9,1.0,12.0,37.0453,33.9093,12,3,18,4,5,2,8,13,23,1,16,21,22,9,20,17,7,14,15,10,19,0,11,6,0,21
,,,,,,,,,,,,,,,,,,,,,,,,tp,2812.5,281.25,04975ecd8,1.0,19.0,55.93600000000001,54.38399999999999,19,7,11,20,23,3,5,10,22,17,13,16,15,6,4,12,18,14,9,1,8,2,21,0,0,23
,,,,,,,,,,,,,,,,,,,,,,,,tp,11627.9,6459.96,053aeb7bd,4.0,23.0,8.8758,0.9520000000000001,23,5,12,3,9,20,7,4,17,10,22,16,18,8,1,0,15,2,21,14,19,11,13,6,0,15
,,,,,,,,,,,,,,,,,,,,,,,,tp,6468.75,3750.0,055088446,1.0,14.0,59.263999999999996,58.992,14,21,1,7,11,15,18,4,2,8,13,23,3,22,6,10,20,16,0,5,12,19,9,17,0,18
,,,,,,,,,,,,,,,,,,,,,,,,tp,10852.7,947.461,055d22517,1.0,10.0,50.0274,47.5835,23,3,10,12,5,9,20,11,18,22,17,7,2,16,19,14,15,4,1,6,21,0,13,8,2,21
,,,,,,,,,,,,,,,,,,,,,,,,tp,11283.4,7235.16,09a946316,1.0,23.0,56.558,50.4744,23,5,10,22,11,3,7,9,17,6,4,15,12,2,20,16,19,8,14,13,1,18,0,21,0,22
,,,,,,,,,,,,,,,,,,,,,,,,tp,11437.5,4687.5,0a9cdd8a5,1.0,7.0,25.424,22.2827,7,10,20,6,22,15,23,11,19,5,16,14,3,1,9,17,13,4,2,0,12,18,21,8,0,19
,,,,,,,,,,,,,,,,,,,,,,,,tp,3281.25,562.5,0b2fa3f80,1.0,12.0,6.1493,3.0133,12,15,8,3,7,9,4,22,1,5,17,13,23,18,21,2,16,14,20,19,0,11,10,6,0,20
